File,Cluster
1212.2455,1
1212.2457,1
1212.2461,1
1212.2496,1
1212.2497,1
1212.2505,1
1212.5276,0
1212.6527,0
1301.0173,4
1301.0571,1
1301.0574,1
1301.0603,3
1301.2137,1
1301.2146,0
1301.2256,1
1301.2258,1
1301.2265,1
1301.2275,1
1301.2287,1
1301.2288,1
1301.2290,1
1301.2292,1
1301.2293,1
1301.2295,4
1301.2301,1
1301.2304,1
1301.3836,1
1301.3842,1
1301.3848,1
1301.3859,2
1301.3861,1
1301.3872,0
1301.3873,1
1301.3876,2
1301.3878,1
1301.3881,1
1301.3883,2
1301.3897,1
1301.4272,1
1301.5943,2
1301.6679,1
1301.6683,1
1301.6686,4
1301.6688,1
1301.6689,1
1301.6709,1
1301.6712,1
1301.6718,1
1301.6724,1
1301.6729,1
1301.6732,1
1301.6737,1
1301.6741,1
1301.6748,1
1301.6750,4
1301.6975,2
1301.7360,1
1301.7365,4
1301.7367,1
1301.7370,1
1301.7384,1
1301.7387,1
1301.7398,1
1301.7405,1
1301.7410,1
1301.7416,1
1301.7418,3
1301.7676,1
1302.1522,1
1302.1525,1
1302.1527,1
1302.1530,1
1302.1534,1
1302.1541,1
1302.1546,1
1302.1547,3
1302.1550,1
1302.1554,1
1302.1556,1
1302.1564,1
1302.3551,1
1302.3553,1
1302.3557,1
1302.3573,1
1302.3575,1
1302.3581,1
1302.3584,1
1302.3585,3
1302.3595,1
1302.3601,1
1302.3607,1
1302.3610,1
1302.4381,1
1302.4475,2
1302.4932,3
1302.4943,1
1302.4955,1
1302.4958,1
1302.4961,4
1302.4966,3
1302.4967,1
1302.4975,1
1302.4981,1
1302.4985,1
1302.4992,1
1302.4993,1
1302.6779,4
1302.6780,1
1302.6787,1
1302.6797,1
1302.6807,1
1302.6809,1
1302.6814,1
1302.6816,1
1302.6817,1
1302.6820,1
1302.6825,1
1302.6836,1
1302.6842,1
1302.6848,1
1302.6849,1
1302.6852,1
1302.6855,1
1303.1469,4
1303.1470,1
1303.1471,1
1303.1472,1
1303.1475,1
1303.1481,1
1303.1495,1
1303.1496,1
1303.1499,1
1303.1501,1
1303.1504,1
1303.1512,1
1303.1513,1
1303.1519,2
1303.1700,1
1303.2013,2
1303.3163,1
1303.5395,1
1303.5415,1
1303.5422,1
1303.5426,2
1303.5428,1
1303.5429,1
1303.5431,1
1303.5436,1
1303.5710,1
1303.5715,1
1303.5720,1
1303.5727,1
1303.5730,0
1303.5734,2
1303.5736,3
1303.5749,1
1303.5750,1
1303.5757,1
1303.5760,4
1303.5761,2
1303.7200,2
1303.7430,0
1304.0100,1
1304.0145,1
1304.0844,1
1304.1082,1
1304.1087,2
1304.1103,1
1304.1104,1
1304.1105,1
1304.1125,1
1304.1138,1
1304.1146,2
1304.1497,2
1304.1512,1
1304.1514,2
1304.1519,2
1304.1524,4
1304.1534,1
1304.1819,4
1304.2346,1
1304.2347,3
1304.2353,1
1304.2357,1
1304.2364,0
1304.2365,1
1304.2368,1
1304.2369,1
1304.2370,1
1304.2377,1
1304.2379,1
1304.2384,1
1304.2711,1
1304.2714,1
1304.2723,1
1304.2733,1
1304.2745,1
1304.2755,1
1304.2756,2
1304.3078,2
1304.3087,1
1304.3093,1
1304.3099,2
1304.3100,3
1304.3103,1
1304.3107,2
1304.3111,1
1304.3115,1
1304.3116,1
1304.3118,2
1304.3208,1
1304.3432,0
1304.3435,1
1304.3437,2
1304.3446,1
1304.3448,1
1304.3450,2
1304.3763,1
1304.3846,2
1304.3854,2
1304.3859,2
1304.3879,0
1304.4028,2
1304.4415,1
1304.5159,3
1304.5449,1
1304.5554,2
1304.5970,1
1304.7843,2
1305.0187,2
1305.0574,1
1305.1169,3
1305.1946,2
1305.1991,2
1305.2415,1
1305.4130,1
1305.4744,2
1305.6187,1
1305.7130,2
1305.7185,2
1305.7345,1
1306.0095,1
1306.0128,3
1306.1557,1
1306.2025,1
1306.3317,1
1306.3542,0
1306.5606,1
1307.0339,4
1307.1388,4
1307.1890,1
1307.3195,2
1307.3585,1
1307.4440,1
1307.5322,0
1307.5910,3
1307.6291,1
1307.8279,3
1308.0187,1
1308.1262,2
1308.4943,1
1308.5137,1
1308.6206,2
1308.6292,2
1309.0363,1
1309.3285,1
1309.4085,3
1309.4714,2
1309.4962,2
1309.5316,2
1309.5502,2
1309.6816,1
1309.6817,1
1309.6827,1
1309.6839,1
1309.6855,0
1309.6872,1
1309.7145,1
1310.1863,2
1310.2350,1
1310.2396,1
1310.2493,0
1310.6323,2
1310.7828,1
1310.8588,1
1311.0716,2
1311.1935,2
1311.3355,2
1311.3982,4
1311.4064,1
1312.0032,1
1312.0127,1
1312.1146,1
1312.1887,1
1312.2242,2
1312.2709,2
1312.3903,2
1312.4026,1
1312.4839,2
1312.6096,1
1312.6146,1
1401.0245,2
1401.1024,1
1401.2153,2
1401.2483,2
1401.2503,4
1401.3428,1
1401.3444,1
1401.3459,1
1401.3486,1
1401.3626,1
1401.3825,1
1401.3851,3
1401.3853,1
1401.3859,2
1401.3861,1
1401.3863,1
1401.3879,1
1401.4595,1
1401.4600,1
1401.4605,1
1401.4607,1
1401.5856,1
1401.5860,1
1401.6098,3
1402.0557,1
1402.0558,1
1402.0581,3
1402.4914,3
1402.5379,0
1402.5436,1
1402.6560,1
1402.6663,2
1403.5169,1
1403.5508,2
1403.6036,1
1403.6348,1
1403.7373,1
1403.7465,2
1404.0640,2
1404.1515,1
1404.1517,1
1404.1718,1
1404.1884,3
1404.3141,1
1404.3285,2
1404.3370,1
1404.3659,1
1404.6036,1
1404.6445,1
1404.7279,2
1404.7719,1
1405.0054,1
1405.0423,0
1405.0446,1
1405.0720,1
1405.0795,1
1405.0869,1
1405.0961,2
1405.1071,1
1405.1520,1
1405.2600,1
1405.3250,1
1405.3318,1
1405.3451,0
1405.3570,2
1405.5459,0
1405.5643,3
1405.6509,1
1405.7295,3
1405.7944,2
1406.1559,2
1406.1638,0
1406.1697,1
1406.2000,1
1406.2395,4
1406.3124,1
1406.3191,4
1406.6764,1
1406.6973,1
1406.7196,1
1407.1041,1
1407.2506,4
1407.3512,1
1407.4360,4
1407.5574,1
1407.7934,1
1407.8151,1
1408.0595,2
1408.1481,1
1408.1913,2
1408.2029,1
1408.2046,3
1408.2052,1
1408.2063,1
1408.3002,1
1408.5265,4
1408.5490,2
1408.6127,1
1408.6806,0
1409.0703,2
1409.1456,3
1409.5223,1
1409.5317,1
1409.5340,1
1409.6359,1
1409.7281,1
1409.7777,1
1409.7830,1
1409.8027,2
1410.2063,2
1410.2442,1
1410.3862,2
1410.5859,1
1410.6854,1
1410.6960,1
1410.7063,2
1410.7223,1
1410.8233,2
1411.0149,0
1411.1373,2
1411.2499,1
1411.3806,3
1411.4619,1
1411.6794,1
1411.6998,3
1411.7480,1
1411.7812,1
1412.1913,1
1412.2114,1
1412.2226,1
1412.2620,4
1412.2824,2
1412.3079,1
1412.5984,1
1412.6060,1
1412.6141,1
1412.6703,2
1412.7967,2
1412.8529,1
1501.01178,1
1501.01457,4
1501.01501,4
1501.02732,0
1501.03093,1
1501.04796,2
1501.07423,3
1502.02029,1
1502.02467,1
1502.02840,3
1502.04665,2
1502.05021,2
1502.05698,0
1502.05838,2
1502.06512,2
1502.07314,1
1502.07628,1
1503.01158,0
1503.01299,1
1503.04187,2
1503.04222,3
1503.07341,4
1503.07715,3
1503.08345,2
1504.02027,1
1504.02247,2
1504.02281,1
1504.03558,1
1504.03592,2
1504.05651,1
1504.05846,1
1504.07182,0
1504.08027,2
1504.08108,0
1505.04497,1
1505.04677,1
1505.05366,2
1505.05367,3
1506.00091,2
1506.00711,1
1506.01245,1
1506.02060,1
1506.02312,3
1506.02930,2
1506.03140,4
1506.03624,1
1506.04272,1
1506.04956,2
1506.07116,2
1506.08813,1
1506.08919,1
1507.01122,2
1507.01425,1
1507.01451,2
1507.01986,2
1507.03638,3
1507.04124,1
1507.04630,1
1507.06103,1
1507.06500,2
1507.07688,1
1507.08444,3
1508.00212,0
1508.00280,1
1508.00377,2
1508.04032,1
1508.07092,4
1509.01549,0
1509.03247,1
1509.03389,1
1509.04064,1
1509.05181,3
1509.08056,4
1509.08086,2
1509.08329,4
1509.08761,1
1509.08973,2
1509.09240,1
1510.01463,1
1510.02173,4
1510.02879,0
1510.04194,4
1510.04914,1
1510.05963,2
1510.06153,2
1510.07889,4
1511.04352,2
1511.05719,2
1511.08130,2
1511.08350,4
1511.08967,4
1511.09300,3
1512.00965,4
1512.00977,2
1512.01370,4
1512.01613,1
1512.02406,4
1512.04105,1
1512.05247,1
1512.05832,1
1512.07048,2
1512.07143,4
1512.07679,4
1512.07943,2
1512.08048,2
1601.00367,3
1601.00669,2
1601.01635,1
1601.03785,1
1601.04105,0
1601.06069,2
1601.06108,2
1601.06180,1
1601.06245,2
1601.06738,0
1601.06763,1
1602.01059,1
1602.01398,4
1602.01585,0
1602.01628,4
1602.02261,0
1602.02617,4
1602.04019,2
1602.04435,4
1602.04936,4
1602.05404,1
1602.05699,1
1602.07057,2
1602.08571,0
1603.01182,4
1603.02208,3
1603.03814,1
1603.04586,1
1603.05314,1
1603.06125,1
1603.06141,1
1603.08714,1
1603.09029,1
1604.00162,1
1604.00266,1
1604.00289,2
1604.00681,2
1604.03210,1
1604.04096,2
1604.04660,2
1604.05006,1
1604.05085,4
1604.05273,1
1604.05557,1
1604.06356,1
1604.06787,1
1604.07429,2
1604.07704,4
1604.08148,2
1605.00686,4
1605.01846,2
1605.02442,0
1605.03506,2
1605.07260,2
1605.07335,2
1605.07895,0
1605.09128,0
1605.09735,1
1606.00058,2
1606.00339,1
1606.00626,2
1606.01015,1
1606.01113,4
1606.02221,3
1606.03662,3
1606.04442,4
1606.04695,4
1606.05593,0
1606.06797,1
1606.08130,1
1606.08896,1
1606.08965,2
1606.09449,1
1606.09521,1
1606.09577,1
1606.09594,1
1607.00136,4
1607.00148,4
1607.00791,3
1607.00869,0
1607.01634,1
1607.01730,1
1607.05888,2
1607.05909,4
1607.06617,1
1607.07762,1
1607.08580,2
1608.00810,1
1608.01302,1
1608.01668,2
1608.01835,1
1608.01946,1
1608.02082,2
1608.02682,1
1608.02693,0
1608.06845,1
1608.08472,1
1608.08749,1
1609.02226,4
1609.02316,3
1609.02672,1
1609.02976,2
1609.03250,1
1609.03437,1
1609.03765,1
1609.05140,3
1609.05170,2
1609.05518,0
1609.05566,4
1609.05876,1
1609.06375,2
1609.08439,0
1609.08470,2
1610.00081,4
1610.00366,1
1610.00378,1
1610.00976,1
1610.01085,2
1610.02293,0
1610.02424,4
1610.05612,1
1610.06484,3
1610.06940,4
1610.07432,2
1610.07505,1
1610.07997,2
1610.08445,1
1610.09263,1
1611.00183,4
1611.00549,1
1611.02126,1
1611.02385,4
1611.02439,2
1611.05379,2
1611.05735,3
1611.06108,3
1611.06134,1
1611.06468,0
1611.07078,4
1611.08037,1
1612.00104,1
1612.00742,1
1612.00916,1
1612.00944,0
1612.01058,2
1612.01691,3
1612.01892,0
1612.02088,1
1612.02310,4
1612.03494,2
1612.03653,4
1612.03801,2
1612.05497,1
1612.06007,4
1612.08109,1
1612.08777,1
1612.08967,1
1701.00642,1
1701.01048,1
1701.03037,2
1701.03868,2
1701.04569,3
1701.06388,1
1701.06699,4
1701.07756,4
1701.08301,1
1701.08661,1
1701.08832,3
1701.09000,1
1702.00020,4
1702.00318,1
1702.01795,1
1702.01886,4
1702.04584,2
1702.05515,2
1702.07168,0
1702.07193,2
1703.00674,3
1703.00760,4
1703.01310,1
1703.01893,1
1703.01971,1
1703.02196,1
1703.02239,4
1703.03543,3
1703.04361,2
1703.04368,0
1703.04862,1
1703.06354,2
1703.06692,4
1703.06939,1
1703.08383,4
1703.09923,1
1703.10284,3
1704.01049,3
1704.01742,1
1704.01785,1
1704.01855,2
