,Precision,Recall,F1,Support
q-fin.CP,0.0,0.0,0.0,20.0
q-fin.EC,0.0,0.0,0.0,6.0
q-fin.GN,0.0,0.0,0.0,20.0
q-fin.MF,0.0,0.0,0.0,12.0
q-fin.PM,0.0,0.0,0.0,16.0
q-fin.PR,0.0,0.0,0.0,11.0
q-fin.RM,0.0,0.0,0.0,20.0
q-fin.ST,0.0,0.0,0.0,28.0
q-fin.TR,0.0,0.0,0.0,21.0
quant-ph,0.1674581870741276,0.947429906542056,0.2846113353219863,856.0
stat.AP,0.0,0.0,0.0,123.0
stat.CO,0.0,0.0,0.0,42.0
stat.ME,0.0,0.0,0.0,249.0
stat.ML,0.0,0.0,0.0,174.0
stat.OT,0.0,0.0,0.0,5.0
Accuracy,0.2636,0.2636,0.2636,0.2636
Macro Average,0.17237188894559885,0.06007927952317293,0.056644768487069945,20000.0
Weighted Average,0.37200823252276,0.2636,0.18660335397654465,20000.0
