,Precision,Recall,F1,Support
astro-ph.CO,0.5981308411214953,0.5517241379310345,0.5739910313901345,232.0
astro-ph.EP,0.7464788732394366,0.6751592356687898,0.7090301003344481,157.0
astro-ph.GA,0.6491228070175439,0.5751295336787565,0.6098901098901099,193.0
astro-ph.HE,0.6292682926829268,0.6172248803827751,0.6231884057971014,209.0
astro-ph.IM,0.5581395348837209,0.5517241379310345,0.5549132947976878,174.0
astro-ph.SR,0.6646884272997032,0.7368421052631579,0.6989079563182528,304.0
cond-mat.dis-nn,0.47368421052631576,0.2,0.28125,90.0
cond-mat.mes-hall,0.5628227194492255,0.6089385474860335,0.5849731663685152,537.0
cond-mat.mtrl-sci,0.5425101214574899,0.589010989010989,0.5648050579557429,455.0
cond-mat.other,0.3333333333333333,0.04918032786885246,0.08571428571428572,61.0
cond-mat.quant-gas,0.5241379310344828,0.5205479452054794,0.5223367697594502,146.0
cond-mat.soft,0.5606060606060606,0.6141078838174274,0.5861386138613861,241.0
cond-mat.stat-mech,0.3433734939759036,0.3958333333333333,0.36774193548387096,288.0
cond-mat.str-el,0.49480968858131485,0.5107142857142857,0.5026362038664324,280.0
cond-mat.supr-con,0.5766871165644172,0.5136612021857924,0.5433526011560693,183.0
cs.AI,0.3392070484581498,0.2646048109965636,0.2972972972972973,291.0
cs.AR,0.4878048780487805,0.43478260869565216,0.45977011494252873,46.0
cs.CC,0.3448275862068966,0.3225806451612903,0.3333333333333333,31.0
cs.CE,0.21052631578947367,0.08333333333333333,0.11940298507462686,48.0
cs.CG,0.5,0.21428571428571427,0.3,28.0
cs.CL,0.712468193384224,0.7909604519774012,0.749665327978581,708.0
cs.CR,0.6283783783783784,0.6619217081850534,0.6447140381282496,281.0
cs.CV,0.7051013277428372,0.8203252032520325,0.7583615182262308,1230.0
cs.CY,0.35185185185185186,0.2835820895522388,0.3140495867768595,134.0
cs.DB,0.5373134328358209,0.5,0.5179856115107914,72.0
cs.DC,0.4166666666666667,0.47770700636942676,0.44510385756676557,157.0
cs.DL,0.5161290322580645,0.5818181818181818,0.5470085470085471,55.0
cs.DM,0.2,0.05128205128205128,0.08163265306122448,39.0
cs.DS,0.37037037037037035,0.3614457831325301,0.36585365853658536,83.0
cs.ET,0.35294117647058826,0.1935483870967742,0.25,31.0
cs.FL,0.4230769230769231,0.4230769230769231,0.4230769230769231,26.0
cs.GL,0.0,0.0,0.0,1.0
cs.GR,0.2,0.13333333333333333,0.16,30.0
cs.GT,0.44554455445544555,0.5769230769230769,0.5027932960893855,78.0
cs.HC,0.5845070422535211,0.5460526315789473,0.564625850340136,152.0
cs.IR,0.488,0.4420289855072464,0.46387832699619774,138.0
cs.IT,0.6745843230403801,0.6843373493975904,0.6794258373205742,415.0
cs.LG,0.518097941802697,0.6570657065706571,0.5793650793650794,1111.0
cs.LO,0.4365079365079365,0.45081967213114754,0.4435483870967742,122.0
cs.MA,0.4,0.19047619047619047,0.25806451612903225,42.0
cs.MM,0.6666666666666666,0.21428571428571427,0.32432432432432434,28.0
cs.MS,0.4,0.125,0.19047619047619047,16.0
cs.NA,0.0,0.0,0.0,10.0
cs.NE,0.39655172413793105,0.2839506172839506,0.33093525179856115,81.0
cs.NI,0.5062240663900415,0.61,0.5532879818594104,200.0
cs.OH,0.125,0.037037037037037035,0.05714285714285714,27.0
cs.OS,1.0,0.5,0.6666666666666666,2.0
cs.PF,0.0,0.0,0.0,13.0
cs.PL,0.5106382978723404,0.375,0.43243243243243246,64.0
cs.RO,0.6730769230769231,0.7248520710059172,0.698005698005698,338.0
cs.SC,0.25,0.18181818181818182,0.21052631578947367,11.0
cs.SD,0.6206896551724138,0.4,0.4864864864864865,90.0
cs.SE,0.5408163265306123,0.6091954022988506,0.572972972972973,174.0
cs.SI,0.48760330578512395,0.44360902255639095,0.4645669291338583,133.0
cs.SY,0.2777777777777778,0.07692307692307693,0.12048192771084337,65.0
econ.EM,0.09090909090909091,0.03571428571428571,0.05128205128205128,28.0
econ.GN,0.38461538461538464,0.39473684210526316,0.38961038961038963,38.0
econ.TH,0.125,0.041666666666666664,0.0625,24.0
eess.AS,0.5172413793103449,0.3488372093023256,0.4166666666666667,86.0
eess.IV,0.5508474576271186,0.3333333333333333,0.41533546325878595,195.0
eess.SP,0.3509933774834437,0.265,0.301994301994302,200.0
eess.SY,0.4734042553191489,0.45408163265306123,0.4635416666666667,196.0
gr-qc,0.6387755102040816,0.6986607142857143,0.6673773987206824,448.0
hep-ex,0.7037037037037037,0.5588235294117647,0.6229508196721312,68.0
hep-lat,0.5072463768115942,0.5223880597014925,0.5147058823529411,67.0
hep-ph,0.6982543640897756,0.7235142118863049,0.7106598984771574,387.0
hep-th,0.5354107648725213,0.5108108108108108,0.5228215767634855,370.0
math-ph,0.29213483146067415,0.23963133640552994,0.26329113924050634,217.0
math.AC,0.625,0.44642857142857145,0.5208333333333334,56.0
math.AG,0.5381818181818182,0.5849802371541502,0.5606060606060606,253.0
math.AP,0.6026058631921825,0.6851851851851852,0.6412478336221837,270.0
math.AT,0.38095238095238093,0.2909090909090909,0.32989690721649484,55.0
math.CA,0.3258426966292135,0.29896907216494845,0.3118279569892473,97.0
math.CO,0.46048109965635736,0.6063348416289592,0.5234375,221.0
math.CT,0.3695652173913043,0.4358974358974359,0.4,39.0
math.CV,0.37254901960784315,0.2923076923076923,0.3275862068965517,65.0
math.DG,0.5688888888888889,0.6632124352331606,0.6124401913875598,193.0
math.DS,0.4339622641509434,0.4011627906976744,0.4169184290030212,172.0
math.FA,0.46808510638297873,0.532258064516129,0.4981132075471698,124.0
math.GM,0.0,0.0,0.0,41.0
math.GN,0.42857142857142855,0.2,0.2727272727272727,15.0
math.GR,0.4875,0.5342465753424658,0.5098039215686274,73.0
math.GT,0.6050420168067226,0.6,0.602510460251046,120.0
math.HO,0.4,0.35714285714285715,0.37735849056603776,28.0
math.KT,0.42857142857142855,0.15789473684210525,0.23076923076923078,19.0
math.LO,0.4,0.4117647058823529,0.4057971014492754,68.0
math.MG,0.3125,0.2631578947368421,0.2857142857142857,38.0
math.NA,0.5532994923857868,0.7171052631578947,0.6246418338108882,304.0
math.NT,0.4876847290640394,0.5689655172413793,0.5251989389920424,174.0
math.OA,0.43902439024390244,0.33962264150943394,0.3829787234042553,53.0
math.OC,0.4573643410852713,0.5396341463414634,0.4951048951048951,328.0
math.PR,0.5168539325842697,0.5897435897435898,0.5508982035928144,234.0
math.QA,0.2857142857142857,0.18181818181818182,0.2222222222222222,55.0
