,Precision,Recall,F1,Support
cs.AI,0.4665718349928876,0.36123348017621143,0.40720049658597146,908.0
cs.AR,0.5079365079365079,0.5565217391304348,0.5311203319502075,115.0
cs.CC,0.3918918918918919,0.3333333333333333,0.36024844720496896,87.0
cs.CE,0.5217391304347826,0.35714285714285715,0.42402826855123676,168.0
cs.CG,0.5147058823529411,0.4117647058823529,0.45751633986928103,85.0
cs.CL,0.737145390070922,0.7825882352941177,0.7591874001369551,2125.0
cs.CR,0.6875,0.6965065502183406,0.6919739696312365,916.0
cs.CV,0.8153187200806249,0.8310220852593734,0.8230955106193565,3894.0
cs.CY,0.4593967517401392,0.4469525959367946,0.45308924485125857,443.0
cs.DB,0.5294117647058824,0.432,0.47577092511013214,250.0
cs.DC,0.5144628099173554,0.5413043478260869,0.527542372881356,460.0
cs.DL,0.6099290780141844,0.6187050359712231,0.6142857142857143,139.0
cs.DM,0.3188405797101449,0.20754716981132076,0.25142857142857145,106.0
cs.DS,0.4528985507246377,0.5020080321285141,0.47619047619047616,249.0
cs.ET,0.5686274509803921,0.3493975903614458,0.43283582089552236,83.0
cs.FL,0.6447368421052632,0.5104166666666666,0.5697674418604651,96.0
cs.GL,0.0,0.0,0.0,6.0
cs.GR,0.37209302325581395,0.1951219512195122,0.256,82.0
cs.GT,0.680161943319838,0.6885245901639344,0.6843177189409368,244.0
cs.HC,0.5759637188208617,0.5152129817444219,0.5438972162740899,493.0
cs.IR,0.6454545454545455,0.4786516853932584,0.5496774193548387,445.0
cs.IT,0.8008510638297872,0.8225524475524476,0.8115567054764985,1144.0
cs.LG,0.6446110105970535,0.7692782233189389,0.7014484601321895,3242.0
cs.LO,0.5766871165644172,0.5930599369085173,0.5847589424572317,317.0
cs.MA,0.39436619718309857,0.25688073394495414,0.3111111111111111,109.0
cs.MM,0.3225806451612903,0.11904761904761904,0.17391304347826086,84.0
cs.MS,0.47368421052631576,0.25,0.32727272727272727,36.0
cs.NA,0.42105263157894735,0.20512820512820512,0.27586206896551724,39.0
cs.NE,0.611764705882353,0.4315352697095436,0.5060827250608273,241.0
cs.NI,0.653169014084507,0.6374570446735395,0.6452173913043479,582.0
cs.OH,0.30434782608695654,0.10294117647058823,0.15384615384615385,68.0
cs.OS,0.3333333333333333,0.058823529411764705,0.1,17.0
cs.PF,0.7142857142857143,0.10416666666666667,0.18181818181818182,48.0
cs.PL,0.5838509316770186,0.5108695652173914,0.5449275362318841,184.0
cs.RO,0.7701575532900834,0.764489420423183,0.7673130193905817,1087.0
cs.SC,0.52,0.37142857142857144,0.43333333333333335,35.0
cs.SD,0.6695278969957081,0.6215139442231076,0.6446280991735537,251.0
cs.SE,0.5709969788519638,0.6483704974271012,0.6072289156626506,583.0
cs.SI,0.6115485564304461,0.6036269430051814,0.6075619295958279,386.0
cs.SY,0.5547945205479452,0.5294117647058824,0.5418060200668896,153.0
Accuracy,0.6761,0.6761,0.6761,0.6761
Macro Average,0.5386599080854139,0.4554134298230851,0.48022150127500857,20000.0
Weighted Average,0.6682234468695755,0.6761,0.6684432961313425,20000.0
