,Precision,Recall,F1,Support
astro-ph.CO,0.5870646766169154,0.5086206896551724,0.5450346420323325,232.0
astro-ph.EP,0.6756756756756757,0.6369426751592356,0.6557377049180327,157.0
astro-ph.GA,0.608433734939759,0.5233160621761658,0.5626740947075209,193.0
astro-ph.HE,0.589041095890411,0.6172248803827751,0.602803738317757,209.0
astro-ph.IM,0.510752688172043,0.5459770114942529,0.5277777777777778,174.0
astro-ph.SR,0.6395348837209303,0.7236842105263158,0.6790123456790124,304.0
cond-mat.dis-nn,0.45652173913043476,0.23333333333333334,0.3088235294117647,90.0
cond-mat.mes-hall,0.5645756457564576,0.5698324022346368,0.567191844300278,537.0
cond-mat.mtrl-sci,0.5028571428571429,0.5802197802197803,0.5387755102040817,455.0
cond-mat.other,0.6666666666666666,0.06557377049180328,0.11940298507462686,61.0
cond-mat.quant-gas,0.5234899328859061,0.5342465753424658,0.5288135593220339,146.0
cond-mat.soft,0.4823943661971831,0.5684647302904564,0.5219047619047619,241.0
cond-mat.stat-mech,0.34472934472934474,0.4201388888888889,0.37871674491392804,288.0
cond-mat.str-el,0.4785714285714286,0.4785714285714286,0.4785714285714286,280.0
cond-mat.supr-con,0.49714285714285716,0.47540983606557374,0.4860335195530726,183.0
cs.AI,0.3615023474178404,0.2646048109965636,0.3055555555555556,291.0
cs.AR,0.45652173913043476,0.45652173913043476,0.45652173913043476,46.0
cs.CC,0.4782608695652174,0.3548387096774194,0.4074074074074074,31.0
cs.CE,0.16666666666666666,0.0625,0.09090909090909091,48.0
cs.CG,0.5,0.17857142857142858,0.2631578947368421,28.0
cs.CL,0.7003792667509482,0.7824858757062146,0.7391594396264176,708.0
cs.CR,0.590625,0.6725978647686833,0.6289517470881864,281.0
cs.CV,0.6919860627177701,0.8073170731707318,0.7452157598499062,1230.0
cs.CY,0.3225806451612903,0.29850746268656714,0.31007751937984496,134.0
cs.DB,0.5,0.4583333333333333,0.4782608695652174,72.0
cs.DC,0.3854748603351955,0.4394904458598726,0.4107142857142857,157.0
cs.DL,0.5081967213114754,0.5636363636363636,0.5344827586206896,55.0
cs.DM,0.13333333333333333,0.05128205128205128,0.07407407407407407,39.0
cs.DS,0.379746835443038,0.3614457831325301,0.37037037037037035,83.0
cs.ET,0.4666666666666667,0.22580645161290322,0.30434782608695654,31.0
cs.FL,0.5217391304347826,0.46153846153846156,0.4897959183673469,26.0
cs.GL,0.0,0.0,0.0,1.0
cs.GR,0.3125,0.16666666666666666,0.21739130434782608,30.0
cs.GT,0.46875,0.5769230769230769,0.5172413793103449,78.0
cs.HC,0.577922077922078,0.5855263157894737,0.5816993464052288,152.0
cs.IR,0.5263157894736842,0.43478260869565216,0.47619047619047616,138.0
cs.IT,0.6626794258373205,0.6674698795180722,0.6650660264105642,415.0
cs.LG,0.5151515151515151,0.6579657965796579,0.5778656126482213,1111.0
cs.LO,0.384,0.39344262295081966,0.38866396761133604,122.0
cs.MA,0.2857142857142857,0.14285714285714285,0.19047619047619047,42.0
cs.MM,0.75,0.10714285714285714,0.1875,28.0
cs.MS,0.3333333333333333,0.125,0.18181818181818182,16.0
cs.NA,0.0,0.0,0.0,10.0
cs.NE,0.2923076923076923,0.2345679012345679,0.2602739726027397,81.0
cs.NI,0.48917748917748916,0.565,0.5243619489559165,200.0
cs.OH,0.14285714285714285,0.037037037037037035,0.058823529411764705,27.0
cs.OS,1.0,0.5,0.6666666666666666,2.0
cs.PF,0.0,0.0,0.0,13.0
cs.PL,0.4791666666666667,0.359375,0.4107142857142857,64.0
cs.RO,0.6391184573002755,0.6863905325443787,0.6619115549215406,338.0
cs.SC,0.2857142857142857,0.18181818181818182,0.2222222222222222,11.0
cs.SD,0.5,0.28888888888888886,0.36619718309859156,90.0
cs.SE,0.5531914893617021,0.5977011494252874,0.574585635359116,174.0
cs.SI,0.48739495798319327,0.43609022556390975,0.4603174603174603,133.0
cs.SY,0.2,0.06153846153846154,0.09411764705882353,65.0
econ.EM,0.16666666666666666,0.03571428571428571,0.058823529411764705,28.0
econ.GN,0.3783783783783784,0.3684210526315789,0.37333333333333335,38.0
econ.TH,0.125,0.041666666666666664,0.0625,24.0
eess.AS,0.4423076923076923,0.26744186046511625,0.3333333333333333,86.0
