,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.AI,319,1,3,5,1,83,5,33,29,20,4,3,1,12,1,0,0,0,12,22,10,10,206,33,10,1,0,0,9,5,2,0,0,6,30,0,2,19,8,3
cs.AR,0,64,0,0,0,0,3,1,0,0,13,0,0,0,3,0,0,0,0,0,0,3,8,1,0,0,0,0,3,4,3,0,0,0,2,0,0,6,0,1
cs.CC,0,0,29,0,2,0,0,0,0,1,2,0,6,19,0,7,0,0,0,0,0,5,0,12,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
cs.CE,3,0,0,60,0,1,1,10,4,0,6,0,0,2,1,0,0,1,1,3,0,2,46,0,1,0,1,2,3,1,0,0,0,0,6,1,1,3,3,5
cs.CG,1,0,2,1,35,0,0,6,0,1,1,0,10,9,0,0,0,5,0,0,0,2,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
cs.CL,56,0,0,0,0,1688,9,94,15,5,0,2,2,0,0,1,0,0,1,17,36,1,129,4,0,1,0,0,0,0,0,0,0,2,6,0,21,21,13,1
cs.CR,7,6,1,0,1,12,656,25,17,6,15,1,0,3,0,1,0,0,3,7,2,15,73,4,2,3,0,0,0,19,0,0,0,1,3,1,1,20,5,6
cs.CV,17,2,0,3,2,118,26,3252,4,3,3,0,2,2,0,0,0,12,0,13,6,6,325,0,0,4,0,0,4,2,2,0,0,1,71,1,9,4,0,0
cs.CY,24,0,1,2,0,30,25,9,195,4,4,9,0,0,0,0,0,0,2,42,5,0,22,0,2,1,1,0,0,11,0,0,0,2,2,0,0,21,28,1
cs.DB,19,1,0,0,2,15,9,1,6,114,22,1,0,8,0,0,0,0,0,2,6,0,26,5,0,0,0,0,0,1,0,0,0,1,0,0,0,9,2,0
cs.DC,5,13,1,1,0,1,20,4,8,16,247,0,0,12,0,0,0,0,3,1,0,8,37,7,2,0,2,1,2,24,0,1,1,5,4,0,0,26,5,3
cs.DL,1,0,0,1,0,10,1,2,4,8,1,88,0,0,0,0,0,0,0,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0
cs.DM,4,0,7,0,6,1,1,0,2,1,0,0,28,29,0,1,0,0,0,1,0,10,0,7,0,0,0,1,0,2,0,0,0,0,0,1,0,0,4,0
cs.DS,8,1,3,0,3,2,5,6,0,11,14,1,8,120,0,0,0,1,9,0,1,7,29,2,0,0,0,1,3,1,0,0,1,1,1,1,0,2,7,0
cs.ET,0,8,0,5,0,0,2,1,3,0,5,0,0,0,31,0,0,0,0,0,0,6,14,0,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0,1
cs.FL,2,0,3,0,1,1,0,0,0,0,0,0,6,3,2,45,0,0,1,0,0,1,2,17,0,0,0,0,0,0,0,0,0,5,0,1,0,4,1,1
cs.GL,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
cs.GR,2,0,0,3,6,2,0,36,0,0,2,0,0,1,0,0,0,13,0,3,0,1,4,0,0,0,0,0,1,0,0,0,0,0,7,0,0,1,0,0
cs.GT,13,0,1,0,0,0,4,0,1,1,1,0,0,7,0,2,0,0,170,1,1,9,20,5,0,0,0,0,0,5,0,0,0,0,0,0,0,1,2,0
cs.HC,26,0,0,0,0,25,10,32,45,2,1,6,0,0,0,0,0,4,2,254,9,1,11,0,0,1,0,0,1,1,1,0,0,0,23,0,6,19,13,0
cs.IR,10,0,0,0,0,85,3,10,9,12,0,12,0,2,0,0,0,0,1,8,207,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,12,0
cs.IT,3,1,3,3,0,3,18,8,1,0,10,2,7,4,3,0,0,1,3,0,0,948,41,1,0,1,0,2,0,67,0,0,0,0,4,0,1,0,3,6
cs.LG,61,16,4,7,3,98,55,248,18,5,21,2,0,6,2,0,0,1,16,12,16,31,2458,1,7,0,0,0,27,8,0,0,0,2,49,1,14,24,18,11
cs.LO,25,1,7,1,2,1,8,0,1,3,5,1,3,2,0,10,0,0,3,2,0,1,6,186,0,0,0,0,0,0,0,0,0,25,0,1,0,20,2,1
cs.MA,17,0,0,0,0,1,3,0,2,0,2,0,0,0,0,0,0,0,9,1,0,2,20,0,25,0,0,0,0,2,0,0,0,0,15,0,0,2,2,6
cs.MM,1,0,0,0,0,9,7,33,0,0,0,0,0,0,0,0,0,2,0,7,1,1,0,0,0,9,0,0,0,8,0,0,0,0,1,0,4,0,1,0
cs.MS,0,0,0,1,0,0,1,1,0,0,9,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,7,1,0,0,0,0,0,3,0,3,0,4,0,0
cs.NA,0,0,0,9,1,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,1,7,2,0,0,0,6,0,0,0,0,0,0,1,2,0,1,0,1
