,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.AI,311,1,3,4,1,79,6,32,28,17,4,3,1,13,3,0,0,0,17,21,9,10,213,34,11,0,0,0,12,3,2,0,0,7,29,0,3,20,9,2
cs.AR,0,69,0,0,0,0,2,2,0,0,12,0,0,0,2,0,0,0,0,0,0,3,8,1,0,1,0,0,3,4,1,0,0,0,2,0,0,5,0,0
cs.CC,1,0,27,0,1,0,1,0,0,0,2,0,7,17,0,7,0,0,0,0,0,5,0,14,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0
cs.CE,3,0,0,58,0,2,2,10,3,0,5,0,1,1,2,0,0,0,2,2,0,2,44,0,1,0,1,5,2,0,1,0,0,0,7,1,1,4,2,6
cs.CG,1,0,3,1,38,0,1,10,0,2,1,0,7,9,0,0,0,1,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
cs.CL,54,0,0,0,0,1674,6,110,12,5,0,1,1,1,0,1,0,0,1,20,36,2,134,4,2,1,0,0,0,0,0,0,0,1,2,0,22,18,16,1
cs.CR,4,8,1,0,1,17,633,26,18,4,15,1,2,3,0,1,0,0,5,7,2,18,76,4,1,3,0,0,0,17,0,0,0,2,1,1,4,26,4,11
cs.CV,22,3,0,3,3,133,28,3215,4,2,4,0,1,2,0,0,0,9,0,11,12,5,339,0,0,7,0,0,7,2,2,0,0,0,65,1,12,1,0,1
cs.CY,18,0,0,2,0,28,24,8,195,4,5,11,0,0,1,0,0,0,1,44,5,1,22,0,2,1,0,0,0,9,2,0,0,3,3,0,0,22,29,3
cs.DB,18,1,0,0,1,14,9,2,7,106,20,1,0,8,0,0,0,0,0,2,6,1,29,8,0,0,0,0,0,1,0,0,0,3,0,0,0,11,2,0
cs.DC,4,14,1,0,1,0,21,3,6,11,242,0,0,12,0,1,0,0,3,2,0,9,43,7,2,0,5,1,3,29,0,2,2,4,4,0,0,22,4,2
cs.DL,1,0,0,1,0,11,0,2,9,7,0,86,0,0,0,0,0,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0
cs.DM,3,0,8,0,6,2,0,0,1,0,0,1,28,27,0,1,0,1,2,1,0,8,2,7,0,0,0,2,0,2,0,0,0,0,0,0,0,1,3,0
cs.DS,10,0,5,0,4,1,3,5,0,10,12,1,6,126,0,0,0,1,8,0,1,9,25,2,1,0,0,1,2,3,0,0,0,1,1,0,0,3,7,1
cs.ET,0,7,0,2,0,0,3,1,3,0,2,0,0,0,32,0,0,0,0,0,0,6,16,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0
cs.FL,3,0,4,0,1,2,0,0,0,0,1,0,6,2,1,48,0,0,0,0,0,1,3,14,0,0,0,0,0,0,0,0,0,5,0,1,0,3,0,1
cs.GL,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cs.GR,1,0,0,1,5,2,1,32,0,0,2,0,0,0,0,0,0,14,0,3,0,2,7,0,0,0,0,1,0,0,0,0,0,0,8,0,0,1,2,0
cs.GT,18,0,1,0,0,0,5,0,0,0,1,0,0,5,0,1,0,0,166,1,1,10,19,4,1,0,0,0,0,2,0,0,1,0,1,0,0,1,5,1
cs.HC,27,0,0,0,0,27,9,28,52,2,1,4,0,0,0,0,0,5,2,251,8,1,19,0,0,1,0,0,0,2,2,0,0,0,18,0,3,20,10,1
cs.IR,8,0,0,0,0,84,5,15,14,11,0,6,0,3,0,0,0,0,0,4,214,0,57,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,13,0
cs.IT,3,1,2,3,3,1,16,12,0,0,10,3,6,3,1,2,0,0,3,0,0,949,34,1,1,2,0,1,3,70,1,0,0,0,3,1,2,0,4,3
cs.LG,60,13,4,8,3,97,49,260,16,10,19,0,2,7,2,0,0,3,13,14,14,32,2456,2,8,0,1,2,26,10,1,0,0,4,47,0,13,19,19,8
cs.LO,26,1,6,1,2,2,7,0,0,3,6,0,4,4,0,7,0,0,2,2,0,2,5,197,0,0,0,0,0,1,0,0,0,19,0,1,0,18,1,0
cs.MA,18,0,0,0,0,1,2,1,4,0,2,0,0,0,0,0,0,1,8,2,0,1,17,2,27,0,0,0,0,0,1,0,0,0,13,0,0,1,2,6
cs.MM,1,0,0,0,0,8,5,34,0,0,0,0,0,0,0,0,0,2,0,7,2,0,0,0,0,12,0,0,0,8,0,0,0,0,1,0,3,0,1,0
cs.MS,1,0,0,1,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,1,0,0,3,0,3,0,5,0,0
cs.NA,0,0,0,9,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,3,7,2,0,0,1,8,0,0,0,0,0,0,1,1,0,1,0,0
cs.NE,14,1,0,2,0,8,1,15,0,0,1,0,0,4,7,0,0,0,0,1,0,2,65,0,0,0,0,0,107,0,0,0,0,0,7,0,2,4,0,0
cs.NI,5,2,1,0,0,0,33,10,3,3,26,0,0,2,0,0,0,0,6,1,2,64,30,0,0,4,0,0,2,363,1,0,0,0,4,0,3,5,6,6
cs.OH,4,2,0,2,0,2,5,3,4,3,2,2,0,0,0,0,0,1,0,1,0,7,1,0,0,0,0,0,0,8,6,0,0,0,2,0,0,7,2,4
cs.OS,0,0,0,0,0,0,2,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,1
cs.PF,0,2,0,0,0,1,0,0,0,0,19,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,1,0,3,1,0,0,0,5,0,2
cs.PL,4,2,0,0,0,6,9,0,1,2,10,0,0,2,1,0,0,0,0,0,0,0,1,28,0,0,0,0,0,1,0,0,0,95,0,0,0,22,0,0
cs.RO,22,1,0,3,0,4,1,112,2,0,5,0,1,5,1,0,0,3,0,19,0,7,50,1,5,0,0,1,2,3,2,0,0,0,817,0,0,11,0,9
cs.SC,0,0,1,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,2,4,5,0,0,1,2,0,0,0,0,0,0,0,14,0,0,0,1
cs.SD,0,0,0,1,0,30,2,50,0,0,0,0,0,0,0,0,0,0,0,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,153,1,0,0
cs.SE,21,0,0,0,0,41,31,6,19,7,11,6,0,0,0,0,0,1,0,12,2,0,20,5,0,0,1,0,2,6,0,0,0,10,2,0,0,371,6,3
cs.SI,4,0,0,1,0,20,1,4,23,1,1,3,1,8,0,0,0,0,9,7,7,3,53,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,234,0
cs.SY,2,1,0,3,0,0,3,0,1,0,2,0,0,0,0,2,0,0,2,0,1,9,17,5,4,0,0,0,0,7,1,0,0,0,12,0,0,1,0,80
