,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.AI,310,0,4,5,1,86,8,35,30,20,4,4,0,15,1,1,0,0,12,21,8,11,193,29,10,0,0,0,14,2,1,0,0,8,37,0,2,26,8,2
cs.AR,1,61,0,0,0,0,4,1,0,0,11,0,0,0,4,0,0,0,0,0,0,4,8,0,0,0,0,0,4,6,3,0,0,0,1,0,0,6,0,1
cs.CC,3,0,27,0,4,0,1,0,0,1,1,0,9,12,0,7,0,0,1,0,0,7,0,9,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
cs.CE,3,1,0,59,0,1,0,7,5,0,7,0,0,1,1,0,0,1,1,3,0,4,48,0,1,0,2,2,3,1,0,0,0,1,6,0,1,2,3,4
cs.CG,2,0,2,1,33,0,1,8,0,1,1,0,7,11,0,0,0,4,0,0,0,3,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
cs.CL,55,1,0,1,0,1647,10,118,15,6,0,2,1,1,0,2,0,0,0,17,38,2,140,5,1,0,0,0,0,0,0,0,0,1,3,0,21,20,18,0
cs.CR,3,5,2,0,1,16,626,34,20,5,21,0,2,2,1,1,0,0,6,7,2,20,72,5,0,1,0,0,0,16,0,0,0,2,2,1,3,30,4,6
cs.CV,19,2,0,5,4,117,29,3236,4,2,5,0,1,3,0,0,0,10,0,11,11,6,331,0,0,3,2,1,3,2,0,0,0,0,68,1,15,3,0,0
cs.CY,18,0,0,3,0,31,23,9,194,6,4,9,0,0,0,0,0,0,1,43,4,1,22,0,2,0,1,0,2,9,3,0,0,0,2,0,0,26,29,1
cs.DB,15,1,0,0,2,16,10,3,6,117,22,0,0,7,0,0,0,0,0,3,6,0,24,6,0,0,0,0,0,1,0,0,0,1,0,0,0,8,2,0
cs.DC,4,13,0,2,1,1,25,4,7,13,254,0,0,12,0,0,0,0,3,2,1,8,37,5,1,0,2,1,2,21,0,1,1,5,5,1,0,22,4,2
cs.DL,1,0,0,1,0,12,0,1,6,7,1,89,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0
cs.DM,6,0,5,0,7,2,0,0,1,1,1,0,21,32,0,3,0,1,1,1,0,11,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0
cs.DS,8,0,4,0,4,2,1,4,0,8,13,1,6,131,0,0,0,0,9,2,0,8,25,2,1,0,0,2,1,2,0,0,0,2,1,1,0,1,9,1
cs.ET,0,9,0,3,0,0,3,2,2,0,4,0,0,0,30,0,0,0,0,0,0,10,14,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,2
cs.FL,2,0,4,0,1,3,0,0,0,0,0,0,3,4,2,48,0,0,1,0,0,0,4,13,0,0,0,0,0,0,0,0,0,4,0,1,0,4,1,1
cs.GL,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cs.GR,3,1,0,3,8,2,0,32,0,1,2,0,0,0,0,0,0,13,0,3,0,2,2,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,1,0
cs.GT,15,0,1,0,0,0,4,0,2,2,1,0,0,5,0,2,0,0,167,0,3,10,17,5,1,0,0,0,0,3,0,0,0,0,1,0,0,0,4,1
cs.HC,26,0,0,1,0,29,8,29,47,2,1,7,0,0,0,0,0,3,2,253,12,1,14,0,1,1,0,0,0,3,0,0,0,1,17,0,3,23,9,0
cs.IR,10,0,0,0,0,82,2,18,12,13,0,9,0,2,0,0,0,0,1,4,207,0,62,0,0,0,0,0,0,1,0,0,0,0,0,0,3,7,12,0
cs.IT,3,2,2,5,1,3,17,13,0,0,10,2,4,5,0,0,0,0,3,1,1,943,39,2,0,1,0,3,2,66,2,0,0,0,3,1,2,1,3,4
cs.LG,63,18,3,6,3,96,59,243,15,7,16,0,0,9,1,0,0,1,14,14,11,28,2472,1,8,0,0,0,27,12,1,0,0,1,52,1,8,23,18,11
cs.LO,23,1,6,1,2,3,8,0,1,4,7,1,4,6,0,11,0,0,3,1,0,1,6,180,0,0,0,0,0,1,0,0,0,23,0,3,0,18,2,1
cs.MA,16,0,1,0,0,1,2,0,4,0,3,0,0,0,0,0,0,0,7,1,0,2,18,1,25,0,0,0,0,0,0,0,0,0,16,0,0,3,2,7
cs.MM,1,0,0,0,0,10,8,36,0,0,0,0,0,0,0,0,0,2,0,7,1,1,0,0,0,6,0,0,0,8,0,0,0,0,0,0,3,0,1,0
cs.MS,1,0,0,1,0,0,2,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,7,0,0,0,0,0,0,3,0,1,0,6,0,0
cs.NA,0,0,0,11,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,2,8,3,0,0,0,5,0,0,0,0,0,0,1,1,0,1,0,0
