,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.AI,312,0,6,4,1,85,6,31,30,17,5,2,0,13,2,0,0,0,14,20,11,10,210,32,8,0,0,0,11,3,1,0,0,7,29,0,2,22,10,4
cs.AR,0,68,0,0,0,0,2,2,0,0,12,0,0,0,3,0,0,0,0,0,0,3,6,1,0,0,0,0,3,4,2,0,0,0,2,0,0,7,0,0
cs.CC,1,0,26,0,1,0,1,0,0,0,1,0,8,17,0,6,0,0,0,0,0,9,0,13,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
cs.CE,3,0,0,64,0,1,0,10,4,0,6,0,0,3,2,0,0,1,2,3,0,2,43,0,1,0,3,1,1,0,1,0,0,0,4,0,1,3,3,6
cs.CG,2,0,2,1,39,0,0,7,0,0,1,0,8,9,0,0,0,3,0,0,0,2,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
cs.CL,55,0,0,0,0,1667,8,103,16,4,0,6,1,0,0,1,0,0,0,15,38,1,137,4,2,1,0,0,0,0,0,0,0,4,3,0,21,22,15,1
cs.CR,6,6,1,0,0,14,644,23,19,5,19,2,0,4,0,1,0,0,4,6,3,16,73,4,1,4,0,0,0,20,0,0,0,2,2,2,3,20,4,8
cs.CV,16,2,0,2,1,137,27,3254,4,1,4,0,1,3,0,0,0,11,0,14,10,4,307,0,0,5,0,0,5,2,3,0,0,1,63,1,11,5,0,0
cs.CY,25,0,1,2,0,32,24,7,194,4,5,8,0,0,0,0,0,0,3,39,3,1,20,0,2,0,1,0,1,9,2,0,0,1,2,0,1,23,32,1
cs.DB,15,1,0,0,1,16,9,4,5,110,21,1,0,11,0,0,0,0,0,2,9,0,28,3,0,1,0,0,0,1,0,0,0,2,0,0,0,9,1,0
cs.DC,5,14,1,1,0,1,20,3,7,12,248,0,1,13,0,0,0,0,3,1,1,7,42,6,0,0,3,2,3,25,0,1,1,5,3,0,0,25,4,2
cs.DL,1,0,0,1,0,12,2,2,7,7,1,87,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0
cs.DM,4,0,9,0,4,2,0,0,2,1,0,0,27,28,0,2,0,0,2,1,0,10,1,7,0,0,0,1,0,2,0,0,0,0,0,1,0,0,2,0
cs.DS,8,2,5,1,3,2,4,5,0,9,11,1,6,124,0,0,0,1,10,0,0,5,31,1,0,0,0,1,3,3,0,0,0,1,1,1,0,2,8,0
cs.ET,0,6,0,2,0,0,2,1,3,0,3,0,0,0,37,0,0,0,0,0,0,6,14,0,0,0,0,0,2,3,0,0,0,0,2,0,1,0,0,1
cs.FL,1,0,3,0,1,1,0,0,0,0,1,0,6,2,1,49,0,0,0,0,0,1,3,16,0,0,0,0,0,0,0,0,0,6,0,1,0,3,0,1
cs.GL,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cs.GR,1,0,0,2,5,1,0,35,0,0,2,0,0,1,0,0,0,15,0,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0
cs.GT,13,0,1,0,0,0,3,0,0,0,2,0,0,4,0,1,0,0,175,1,1,10,20,4,2,0,0,0,0,2,0,0,0,0,0,0,0,1,4,0
cs.HC,27,0,0,0,1,29,9,30,46,3,1,4,0,0,0,0,0,5,1,253,12,2,11,0,0,1,0,0,1,1,1,0,0,0,23,0,4,20,8,0
cs.IR,10,0,0,0,0,87,3,11,11,10,0,7,0,3,0,0,0,0,1,8,208,0,61,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,16,0
cs.IT,2,1,2,5,2,2,19,10,1,1,9,2,5,6,2,0,0,0,3,1,0,950,36,1,1,1,0,1,1,65,2,0,0,0,2,1,0,1,3,6
cs.LG,55,12,2,6,4,96,56,248,15,9,20,0,1,9,2,0,0,1,13,11,14,30,2465,1,5,0,0,0,27,11,1,0,0,4,54,0,11,27,25,7
cs.LO,27,1,8,1,3,2,6,0,1,4,6,1,3,2,0,7,0,0,2,1,0,1,4,188,0,0,1,0,0,1,0,0,0,28,0,0,0,17,1,1
cs.MA,14,0,0,0,0,1,4,1,5,0,1,0,0,0,0,0,0,0,11,2,0,2,17,1,23,0,0,0,1,0,1,0,0,0,13,1,0,1,2,8
cs.MM,1,0,0,0,0,8,6,35,0,0,0,0,0,0,0,0,0,1,0,7,2,3,0,0,0,8,0,0,0,9,0,0,0,0,0,0,3,0,1,0
cs.MS,0,0,0,1,0,0,2,1,0,0,9,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,7,0,0,0,0,0,0,3,0,1,0,5,0,0
cs.NA,1,0,0,8,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,9,3,0,0,1,9,0,0,0,0,0,0,1,1,0,0,0,0
cs.NE,17,1,0,3,0,8,1,17,0,0,1,0,0,2,8,0,0,1,0,0,0,2,64,0,0,0,0,0,104,0,0,0,0,0,8,0,1,3,0,0
cs.NI,1,2,1,0,0,0,32,11,7,1,29,0,0,4,0,0,0,0,6,2,1,65,25,0,1,4,0,0,1,365,0,0,0,0,5,0,2,5,7,5
cs.OH,3,1,0,2,0,2,7,3,7,2,2,2,0,0,1,0,0,1,0,1,0,7,1,0,0,0,0,0,0,6,7,0,0,0,3,0,0,6,2,2
cs.OS,0,0,0,0,0,0,2,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,2,0,1
cs.PF,0,2,0,0,0,0,1,0,0,1,20,0,0,3,0,0,0,0,0,1,0,4,2,0,0,0,1,0,0,5,0,0,4,1,0,0,0,3,0,0
cs.PL,4,2,0,0,0,6,6,0,1,0,11,0,0,2,0,1,0,0,1,1,0,0,1,25,0,0,0,0,0,1,1,0,0,97,0,0,0,24,0,0
cs.RO,24,2,1,3,0,4,1,107,2,0,3,0,0,3,3,0,0,3,0,21,0,5,53,0,4,0,0,0,1,3,1,0,0,2,823,0,0,9,0,9
cs.SC,0,0,2,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,2,3,4,0,0,1,3,0,0,0,0,0,0,0,13,0,0,0,2
cs.SD,0,0,0,1,0,33,4,51,0,0,0,0,0,1,0,0,0,0,0,1,1,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,145,2,0,0
cs.SE,23,0,0,0,0,40,33,4,16,8,19,5,0,0,0,0,0,1,0,16,2,0,20,4,0,0,1,0,2,3,0,0,0,8,2,0,0,367,6,3
cs.SI,4,0,0,1,0,15,2,3,22,1,0,4,2,7,0,0,0,0,5,7,9,2,54,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,240,0
cs.SY,1,2,0,2,0,0,3,0,1,0,3,0,0,1,1,1,0,0,2,0,0,8,16,4,5,0,0,0,1,7,1,0,0,0,12,0,2,0,0,80
