,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.AI,306,1,2,5,0,78,9,38,28,19,4,3,1,15,2,0,0,0,16,24,12,10,198,31,9,0,0,0,15,3,0,0,0,6,36,1,2,25,9,0
cs.AR,0,63,0,1,0,0,3,1,0,0,12,0,0,0,2,0,0,0,0,0,0,4,10,1,0,0,0,0,3,5,1,0,0,0,2,0,0,6,0,1
cs.CC,1,0,24,0,5,0,0,0,0,0,1,0,9,16,0,5,0,0,0,0,0,6,1,15,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
cs.CE,4,0,0,58,0,2,1,8,4,0,5,0,0,3,1,0,0,2,1,3,1,4,44,0,1,0,2,1,3,1,0,0,0,1,5,0,1,3,4,5
cs.CG,1,0,2,0,29,0,2,9,0,1,1,0,8,12,0,0,0,2,0,0,0,2,11,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
cs.CL,54,1,0,1,0,1670,8,102,11,8,0,5,0,0,0,3,0,0,0,15,28,2,137,5,2,0,0,0,0,0,0,0,0,3,2,0,23,26,19,0
cs.CR,6,6,2,0,1,14,616,28,21,8,20,2,0,5,0,1,0,0,3,8,2,20,75,6,1,4,0,0,0,23,1,0,0,3,2,0,0,28,4,6
cs.CV,17,2,0,5,4,115,29,3241,3,2,6,0,1,3,0,0,0,7,0,12,11,10,325,0,0,6,2,1,3,2,1,0,0,0,65,0,17,3,1,0
cs.CY,21,1,0,2,0,28,28,9,199,2,2,10,0,0,0,0,0,0,1,39,3,2,26,0,2,0,1,0,1,11,3,0,0,1,3,0,0,25,23,0
cs.DB,18,1,1,0,2,10,11,7,5,98,21,2,0,11,0,0,0,0,0,2,6,0,27,7,0,0,0,0,0,2,0,0,0,6,0,0,0,12,1,0
