,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.AI,312,0,3,2,1,77,7,29,28,18,3,2,0,12,4,0,0,0,14,22,9,8,204,34,11,0,0,0,17,6,1,0,0,9,30,0,4,27,11,3
cs.AR,0,67,0,0,0,0,2,3,0,0,10,0,0,0,3,0,0,0,0,1,0,3,8,1,0,0,0,0,4,4,2,0,0,0,1,0,0,5,0,1
cs.CC,0,0,30,0,3,0,1,0,0,1,2,0,8,14,0,8,0,0,0,0,0,5,0,11,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
cs.CE,3,0,0,58,0,2,1,9,3,0,6,0,0,2,2,0,0,1,2,3,0,2,43,0,1,0,3,3,3,0,1,0,0,0,7,0,0,4,3,6
cs.CG,1,0,3,1,37,0,1,6,0,1,1,1,7,9,0,0,0,3,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0
cs.CL,53,0,0,0,0,1685,11,99,14,6,1,1,1,0,0,2,0,0,0,16,39,2,128,4,2,1,0,0,0,0,0,0,0,2,2,0,22,18,15,1
cs.CR,6,7,1,0,1,16,635,26,20,9,16,0,1,5,0,1,0,0,4,8,1,18,69,4,2,2,0,0,0,20,1,0,0,0,2,0,3,26,6,6
cs.CV,22,2,0,2,4,134,24,3239,4,2,5,0,1,4,0,0,0,10,0,13,7,7,319,0,0,5,0,0,6,2,4,0,0,1,63,0,11,2,1,0
cs.CY,22,0,0,2,0,27,24,11,191,4,3,9,0,0,0,0,0,0,2,43,5,1,22,0,2,0,1,0,0,9,3,0,0,2,3,0,1,24,30,2
cs.DB,17,1,0,0,1,14,7,6,4,108,21,2,0,11,0,0,0,0,2,2,7,0,26,6,0,0,0,0,0,1,0,0,0,4,0,0,0,9,1,0
cs.DC,5,17,2,1,2,1,22,4,4,11,240,0,0,10,0,0,0,0,3,2,1,7,43,5,3,0,3,1,3,27,0,1,1,7,3,1,0,26,4,0
cs.DL,2,0,0,0,0,7,0,2,8,7,1,93,0,0,0,0,0,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0
cs.DM,4,0,9,1,6,2,0,0,1,0,0,1,27,28,0,1,0,1,2,1,0,7,1,7,0,0,0,1,0,2,0,0,0,1,0,0,0,0,3,0
cs.DS,10,1,4,1,4,1,1,4,0,9,9,0,7,127,0,0,1,1,11,0,1,7,28,3,0,0,0,1,2,3,0,0,1,1,1,1,0,2,6,1
cs.ET,0,6,0,0,0,0,3,1,3,0,4,0,0,0,37,0,0,0,0,0,0,7,14,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,2
cs.FL,2,0,2,0,1,2,0,0,0,0,1,0,6,2,1,49,0,0,0,0,0,1,3,16,0,0,0,0,0,0,0,0,0,5,0,1,0,3,0,1
cs.GL,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cs.GR,2,0,0,1,6,1,1,31,0,0,2,0,0,0,0,0,0,15,0,4,0,2,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0
cs.GT,12,0,1,0,0,1,4,0,1,0,1,0,0,5,0,1,0,0,171,0,1,8,18,6,5,0,0,0,0,2,0,0,1,0,1,0,0,0,4,1
cs.HC,28,0,0,0,0,25,8,33,48,3,1,4,0,0,0,0,0,5,2,244,9,1,15,0,0,1,0,0,1,2,2,0,0,1,25,0,3,21,10,1
cs.IR,9,0,0,0,0,78,5,12,12,9,0,10,0,2,0,0,0,0,0,5,211,0,59,0,0,1,0,0,0,1,0,0,0,0,2,0,5,7,17,0
cs.IT,2,0,2,2,2,2,19,11,2,0,12,2,5,4,1,1,0,1,4,0,0,949,37,2,1,1,0,1,2,64,1,0,0,0,2,1,2,1,3,5
cs.LG,56,15,3,7,4,92,56,249,14,6,22,0,1,7,2,0,0,2,12,13,15,29,2480,1,7,0,0,0,29,12,1,0,0,3,47,0,8,18,23,8
cs.LO,25,1,7,1,2,2,7,0,1,3,8,2,5,4,0,8,0,0,3,2,0,0,7,187,0,0,0,1,0,0,0,0,0,23,0,3,0,13,1,1
cs.MA,18,0,0,0,0,1,2,0,2,0,2,0,0,0,0,0,0,0,8,1,0,2,17,2,27,0,0,0,1,1,1,0,0,0,14,0,0,0,3,7
cs.MM,1,0,0,0,0,9,4,37,0,0,0,0,0,0,0,0,0,1,0,7,1,1,0,0,0,10,0,0,0,9,0,0,0,0,1,0,2,0,1,0
cs.MS,2,0,0,0,0,0,1,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,10,1,0,0,0,0,0,2,0,2,0,5,0,0
cs.NA,0,0,1,8,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,8,2,0,0,1,9,0,0,0,0,0,0,1,1,0,0,0,0
cs.NE,18,0,0,2,0,7,1,12,0,1,3,0,0,3,8,0,0,0,0,0,0,3,60,1,0,0,0,0,111,0,0,0,0,0,5,0,2,4,0,0
cs.NI,1,2,0,1,0,0,33,10,3,3,28,0,0,3,0,0,0,0,7,1,0,69,23,0,1,3,0,0,2,368,1,0,0,0,5,0,2,4,8,4
cs.OH,5,2,0,1,0,3,6,2,5,1,3,1,0,0,1,0,0,1,0,1,0,7,1,0,0,0,0,0,0,4,7,0,0,0,3,0,0,9,2,3
cs.OS,0,0,0,1,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,0,1
cs.PF,0,2,0,0,0,0,0,0,0,1,19,0,0,3,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,6,1,0,5,1,0,0,0,4,0,1
cs.PL,6,2,0,0,0,10,4,0,1,0,11,0,0,2,0,0,0,0,0,1,0,0,1,29,0,0,0,0,0,1,1,0,1,92,0,0,0,22,0,0
cs.RO,19,2,0,3,2,2,1,101,3,0,3,0,0,5,1,0,0,3,0,22,0,6,61,0,5,0,1,0,1,3,3,0,0,2,817,1,0,11,0,9
