,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.AI,304,0,5,5,1,79,7,37,26,21,6,4,0,11,1,1,0,0,15,23,10,10,207,33,8,1,0,0,12,4,1,0,0,6,35,0,1,24,9,1
cs.AR,0,65,0,0,0,0,3,1,0,0,12,0,0,0,4,0,0,0,0,0,0,3,9,0,0,0,0,0,4,4,2,0,0,0,3,0,0,5,0,0
cs.CC,2,0,28,0,2,0,2,0,0,1,1,0,5,16,0,7,0,0,1,0,0,6,1,10,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
cs.CE,3,1,0,57,0,1,1,11,5,0,5,0,0,2,0,0,0,1,1,3,0,2,46,0,1,0,2,1,4,1,0,0,0,0,6,1,0,4,2,7
cs.CG,2,0,2,1,29,0,1,9,0,0,1,0,10,12,0,0,0,4,0,0,0,3,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
cs.CL,57,1,0,1,0,1679,11,109,14,7,0,3,2,0,0,1,0,0,1,16,32,1,120,5,1,1,0,0,0,0,0,0,0,3,4,0,20,22,14,0
cs.CR,7,6,2,0,1,11,640,32,17,5,21,0,1,2,0,1,0,0,5,7,0,16,68,4,1,5,0,0,0,20,1,0,0,3,2,0,2,26,5,5
cs.CV,18,2,0,4,2,119,26,3242,4,2,5,0,1,3,0,0,0,10,0,13,10,7,328,0,0,4,1,1,4,3,1,0,0,0,69,1,12,2,0,0
cs.CY,24,0,0,1,0,30,21,9,192,6,4,9,0,0,0,0,0,0,1,44,4,1,21,0,2,1,1,0,2,8,3,0,0,0,1,0,0,29,28,1
cs.DB,19,1,0,0,2,16,9,3,6,107,22,0,0,10,0,0,0,0,0,2,7,0,25,8,0,0,0,0,0,1,1,0,0,2,0,0,0,9,0,0
cs.DC,5,12,0,1,0,0,21,4,7,15,252,0,1,13,0,0,0,0,3,2,1,7,38,7,2,0,2,1,2,21,0,2,1,6,4,0,0,25,4,1
cs.DL,0,0,0,1,0,12,1,2,6,7,1,86,0,0,0,0,0,0,0,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
cs.DM,7,0,6,0,6,1,0,0,2,1,1,0,21,33,0,2,0,1,2,1,0,11,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0
cs.DS,8,1,3,0,2,2,2,4,0,9,16,1,8,125,0,0,0,1,8,1,1,8,27,1,1,0,0,1,2,2,0,0,0,1,1,2,0,2,7,2
cs.ET,0,8,0,3,0,0,3,1,2,0,3,0,0,0,31,0,0,0,0,0,0,9,15,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,1
cs.FL,2,0,4,0,1,2,0,0,0,0,1,0,3,3,1,49,0,0,0,0,0,1,4,15,0,0,0,0,0,0,0,0,0,4,1,1,0,3,0,1
cs.GL,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cs.GR,2,1,0,2,6,1,0,33,0,1,2,0,0,1,0,0,0,14,0,4,0,1,3,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,2,0
cs.GT,14,0,2,0,0,0,3,0,0,2,1,0,1,4,0,2,0,0,174,0,3,7,15,4,2,0,0,0,0,4,0,0,0,0,0,0,0,1,4,1
cs.HC,26,0,0,1,0,30,10,30,45,3,1,5,0,0,0,0,0,3,2,246,10,2,16,0,0,0,0,0,0,4,0,0,0,2,20,0,3,22,12,0
cs.IR,11,0,0,0,0,87,3,17,11,9,0,13,0,2,0,0,0,0,1,5,204,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,14,0
cs.IT,2,0,4,3,1,2,18,9,1,1,9,1,4,6,1,0,0,0,2,0,0,947,43,2,0,1,0,0,2,66,2,0,0,1,5,0,0,1,3,7
cs.LG,66,17,3,7,2,90,59,238,15,7,18,0,0,8,3,0,0,1,13,13,15,32,2465,1,7,1,0,1,27,11,0,0,0,1,59,1,8,20,21,12
cs.LO,28,1,9,0,2,2,10,0,1,3,6,1,4,4,0,7,0,0,2,1,0,0,5,182,0,0,0,0,0,0,0,0,0,27,0,3,0,17,2,0
cs.MA,17,0,1,0,0,1,2,0,2,0,2,0,0,0,0,0,0,0,8,1,0,2,21,2,23,0,0,0,0,0,0,0,0,0,17,0,0,3,2,5
cs.MM,1,0,0,0,0,8,7,40,0,0,0,0,0,0,0,0,0,2,0,7,1,1,0,0,0,7,0,0,0,8,0,0,0,0,0,0,1,0,1,0
cs.MS,1,0,0,1,0,1,1,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,6,0,0,0,1,0,0,4,0,1,0,5,0,0
cs.NA,0,0,0,10,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,3,9,2,0,0,0,5,0,0,0,0,0,0,2,1,0,1,0,0
cs.NE,12,1,0,3,1,8,2,14,0,1,1,0,0,4,8,1,0,0,0,0,0,1,76,1,0,0,0,0,92,0,0,0,0,0,7,0,3,4,0,1
