,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.AI,297,1,4,4,1,79,8,35,31,16,6,4,0,14,1,2,0,0,13,26,10,11,203,35,7,0,0,0,13,2,0,0,0,5,44,0,1,22,12,1
cs.AR,0,60,0,0,0,0,5,1,0,0,13,0,0,0,3,0,0,0,0,0,0,3,8,1,0,0,0,0,3,6,2,0,0,0,3,0,0,6,0,1
cs.CC,2,0,27,0,3,0,1,0,0,1,1,0,6,14,0,7,0,0,1,0,0,8,2,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
cs.CE,3,3,0,65,0,1,1,8,6,0,5,0,0,2,1,0,0,2,1,3,0,2,44,0,1,0,2,0,2,2,0,0,0,1,5,0,1,2,2,3
cs.CG,2,0,2,1,32,0,0,10,0,1,1,0,9,9,0,0,0,2,0,1,0,4,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
cs.CL,54,1,0,1,0,1674,8,109,17,6,1,2,2,0,0,1,0,0,0,18,37,1,127,4,1,1,0,0,0,0,0,0,0,1,3,0,21,20,14,1
cs.CR,6,7,2,0,1,14,631,34,20,4,14,1,0,5,1,1,0,0,7,7,3,17,68,5,0,4,0,0,0,18,1,0,0,3,2,1,2,27,5,5
cs.CV,17,2,0,5,4,98,26,3268,2,1,6,0,1,3,0,0,0,9,0,15,12,8,321,0,1,5,1,2,3,3,3,0,0,1,64,0,11,2,0,0
cs.CY,29,1,0,5,0,30,29,7,190,3,3,8,0,0,0,0,0,0,2,41,3,0,24,0,2,1,1,0,1,9,1,0,0,1,3,0,0,24,23,2
cs.DB,16,1,0,0,2,16,9,4,4,103,24,1,0,10,0,0,0,0,0,2,8,0,29,8,0,0,0,0,0,1,0,0,0,3,0,0,0,8,1,0
cs.DC,2,13,0,2,0,0,21,4,9,11,243,0,0,13,0,0,0,0,3,3,1,9,40,7,1,0,4,1,2,26,0,1,2,5,5,0,0,24,7,1
cs.DL,2,0,0,1,0,10,1,3,9,7,1,82,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0
cs.DM,5,0,7,0,7,2,0,0,1,1,2,0,24,29,0,2,0,0,1,1,0,12,1,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0
cs.DS,6,0,4,0,5,2,3,5,1,8,12,1,11,126,0,0,0,0,10,0,0,8,26,1,0,0,2,1,2,2,0,0,0,1,1,1,0,1,9,0
cs.ET,1,6,0,4,0,0,3,1,2,0,5,0,0,0,31,0,0,0,0,0,0,11,14,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0
cs.FL,2,0,3,0,1,2,0,0,0,0,0,0,3,3,1,48,0,0,1,0,0,1,4,15,0,0,0,0,0,0,0,0,0,5,1,1,0,3,1,1
cs.GL,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cs.GR,0,0,0,2,5,2,0,37,0,0,2,0,0,1,0,0,0,13,0,5,0,2,2,0,1,0,0,0,1,0,0,0,0,0,6,0,0,1,2,0
cs.GT,10,0,2,0,0,0,5,0,1,2,1,0,0,6,0,2,0,0,173,0,2,10,16,5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,4,1
cs.HC,22,0,0,1,0,30,11,29,45,3,1,5,0,0,0,0,0,3,3,255,10,2,12,0,0,1,0,0,0,4,0,0,0,2,22,0,4,19,9,0
cs.IR,9,0,0,0,0,86,3,18,11,14,0,12,0,2,0,0,0,0,1,4,203,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,0
cs.IT,0,1,2,3,0,3,18,14,1,0,9,2,4,8,0,1,0,0,3,0,0,944,40,2,1,1,0,4,3,63,2,0,0,1,3,1,1,0,3,6
cs.LG,62,16,2,8,2,97,58,245,16,5,20,0,0,6,2,0,0,2,13,14,13,32,2452,1,7,0,0,1,33,10,0,0,0,1,55,1,16,22,21,9
cs.LO,24,1,10,1,2,2,8,0,1,3,6,1,3,2,0,10,0,0,2,0,0,3,6,177,0,0,0,0,0,2,0,0,0,29,0,2,0,20,2,0
cs.MA,16,0,1,0,0,1,3,0,2,0,3,0,0,0,0,0,0,0,7,1,0,4,19,1,24,0,0,0,0,2,0,0,0,0,15,0,0,3,2,5
cs.MM,1,0,0,0,0,9,6,38,0,0,0,0,0,0,0,0,0,2,1,7,1,2,0,0,0,8,0,0,0,7,0,0,0,0,0,0,2,0,0,0
cs.MS,0,0,0,2,0,2,2,1,0,0,10,0,0,2,0,0,0,0,0,0,0,0,4,1,0,0,4,0,0,0,0,0,0,4,0,1,0,3,0,0
cs.NA,0,0,0,9,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,7,3,0,0,1,7,1,0,0,0,0,0,1,2,0,0,0,0
cs.NE,17,0,0,2,1,6,2,17,0,1,1,0,0,3,8,0,0,0,0,1,1,1,75,1,0,0,0,0,88,0,0,0,0,0,10,0,1,5,0,0
cs.NI,2,4,0,0,1,0,42,9,6,1,27,0,0,4,0,0,0,0,6,1,0,67,25,0,1,4,0,0,2,352,1,1,0,0,9,0,1,5,8,3
cs.OH,1,3,0,2,0,2,6,1,10,2,3,1,0,0,1,0,0,1,0,3,0,7,0,0,0,0,0,0,0,6,4,0,0,0,5,0,0,5,2,3
cs.OS,0,0,0,0,0,0,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,1
cs.PF,0,2,0,1,0,1,0,0,0,0,17,0,0,5,0,0,0,0,0,0,0,5,3,0,0,0,1,0,0,5,1,0,1,1,0,0,0,5,0,0
cs.PL,4,2,1,0,0,7,7,0,1,1,9,0,0,3,0,2,0,0,0,0,0,0,1,22,0,0,0,0,1,1,0,0,0,97,0,0,0,25,0,0
cs.RO,19,1,1,5,1,2,2,104,2,1,7,1,0,3,1,0,0,1,0,24,0,6,50,1,4,0,0,1,0,3,2,0,0,0,818,1,0,13,0,13
cs.SC,0,0,2,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,3,4,4,0,0,0,0,1,0,0,0,0,1,0,15,0,0,0,0
cs.SD,0,0,0,2,0,35,4,59,0,0,0,0,0,0,0,0,0,0,0,1,1,2,14,0,0,0,0,0,0,0,0,0,0,0,1,0,129,3,0,0
cs.SE,16,0,0,1,0,39,31,4,14,6,15,8,0,1,0,0,0,1,0,19,2,0,22,8,0,0,1,0,2,4,0,0,0,8,1,0,0,373,4,3
cs.SI,4,0,0,1,0,18,2,6,25,1,1,5,0,8,0,0,0,0,7,5,13,2,50,0,0,0,0,0,1,4,0,0,0,0,0,0,0,3,230,0
cs.SY,2,2,0,6,0,0,3,0,1,0,1,0,1,0,0,1,0,0,2,0,0,11,14,5,5,0,0,0,1,8,0,0,0,0,11,0,1,0,0,78
