,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.AI,279,1,4,5,1,83,9,36,33,23,6,4,0,12,0,1,0,0,14,24,9,9,211,38,7,0,0,0,13,3,0,0,0,3,42,0,1,27,9,1
cs.AR,1,56,0,1,0,0,5,2,0,0,12,0,0,0,3,0,0,0,1,0,0,5,7,1,0,0,1,0,3,6,1,0,0,0,4,0,0,6,0,0
cs.CC,2,0,28,0,2,0,2,0,0,0,2,0,6,16,0,6,0,0,1,0,0,6,1,12,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
cs.CE,3,1,0,56,0,1,0,8,7,0,8,0,0,3,0,0,0,1,0,3,0,5,41,0,1,0,1,0,4,1,0,0,0,1,9,0,1,3,6,4
cs.CG,1,0,3,0,31,0,1,7,0,1,1,0,5,11,0,0,0,4,0,0,0,2,12,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0
cs.CL,51,1,0,1,0,1655,8,117,13,6,0,3,0,2,0,1,0,0,0,13,36,3,137,9,2,0,0,0,0,0,0,0,0,3,1,0,20,25,18,0
cs.CR,5,7,1,1,1,15,621,34,18,8,21,0,0,3,3,1,0,0,7,8,3,21,74,7,1,1,0,0,1,17,0,0,0,2,1,0,0,24,5,5
cs.CV,17,2,0,5,3,150,25,3204,4,0,5,1,1,4,0,0,0,6,0,12,10,8,334,0,1,5,2,1,5,4,0,0,0,1,64,0,16,3,1,0
cs.CY,21,1,0,3,0,33,23,9,196,2,3,9,0,0,0,0,0,0,1,45,3,1,19,1,2,1,0,0,3,11,1,0,0,1,1,0,1,26,26,0
cs.DB,17,1,0,0,2,19,11,4,7,96,21,0,0,10,0,0,0,0,0,2,9,1,30,7,0,0,0,0,0,2,0,0,0,2,0,0,0,7,2,0
cs.DC,3,13,0,1,0,2,28,4,10,12,236,0,0,13,0,1,0,0,3,3,1,9,44,4,1,0,3,1,3,24,0,0,2,4,5,0,0,24,4,2
cs.DL,0,0,0,0,0,10,1,4,8,7,2,81,0,0,0,0,0,0,0,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0
cs.DM,6,0,8,0,5,2,0,0,1,0,2,0,23,28,0,3,0,1,2,1,0,12,2,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0
cs.DS,6,0,3,0,2,2,5,5,1,9,12,1,10,126,0,0,0,1,10,0,1,7,27,1,1,0,2,1,2,3,0,0,0,0,1,1,0,1,7,1
cs.ET,1,8,0,2,0,0,4,2,2,0,4,0,0,0,24,0,0,0,0,0,0,12,11,0,1,0,0,0,9,1,0,0,0,0,1,0,0,0,1,0
cs.FL,1,0,6,0,1,2,0,0,0,0,1,0,3,4,0,46,0,0,0,0,0,1,4,16,0,0,0,0,0,0,0,0,0,4,1,1,0,4,0,1
cs.GL,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cs.GR,1,0,0,2,5,2,1,31,0,0,2,0,0,1,0,0,0,13,0,4,0,5,4,0,0,0,0,0,1,0,0,0,0,0,7,0,0,1,1,1
cs.GT,16,0,2,0,0,0,4,0,1,3,1,0,0,5,0,2,0,0,164,0,2,12,12,8,1,0,0,0,0,3,0,0,0,0,0,0,0,1,6,1
cs.HC,26,0,0,1,0,29,12,30,53,2,1,6,0,0,0,0,0,3,2,236,10,1,15,0,0,0,0,0,0,4,0,0,0,4,20,0,6,23,9,0
cs.IR,8,0,0,0,0,88,4,19,11,15,0,10,0,2,0,0,0,0,1,6,201,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,11,0
cs.IT,1,1,5,6,0,3,19,12,1,0,13,2,4,5,2,2,0,0,4,0,0,933,41,2,1,1,0,1,3,65,0,0,0,1,3,1,2,3,4,3
cs.LG,58,15,2,6,0,108,59,242,18,7,19,0,2,8,2,0,0,1,14,14,11,39,2437,2,9,0,0,0,29,12,0,0,0,2,58,1,13,26,18,10
cs.LO,21,1,10,1,2,2,11,1,1,5,3,1,3,3,0,8,0,0,5,1,0,1,8,180,0,0,0,0,0,1,0,0,0,25,0,1,0,19,2,1
cs.MA,20,0,1,0,0,1,3,0,2,0,3,0,1,0,0,0,0,0,8,2,0,3,14,1,25,0,0,0,0,1,0,0,0,0,16,0,0,3,2,3
cs.MM,1,0,0,0,0,9,5,39,0,0,0,0,0,0,0,0,0,2,0,7,2,3,0,0,0,6,0,0,0,6,0,0,0,0,0,0,3,0,1,0
cs.MS,2,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,5,0,1,0,0,0,0,5,0,0,0,4,0,0
cs.NA,0,0,0,12,1,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,2,6,3,0,0,0,4,1,0,0,0,0,0,1,1,0,1,0,0
cs.NE,15,1,0,4,1,7,2,16,1,1,1,0,0,4,10,0,0,0,0,2,1,2,86,1,0,0,0,0,67,0,0,0,0,3,8,0,3,4,0,1
cs.NI,1,3,1,0,0,0,40,12,5,1,28,0,0,2,0,0,0,0,4,2,0,65,27,0,1,2,0,0,2,359,0,0,0,0,9,0,1,6,8,3
cs.OH,4,1,0,2,0,1,6,1,8,3,4,1,0,0,2,0,0,1,0,2,0,8,0,0,0,0,0,0,0,6,3,0,0,0,5,0,0,4,3,3
cs.OS,0,0,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1
cs.PF,0,0,0,0,0,2,1,1,0,0,17,0,0,3,1,0,0,0,0,1,0,7,3,0,0,0,0,0,1,6,0,0,1,1,0,0,0,3,0,0
cs.PL,4,3,0,0,0,14,10,0,1,2,7,0,0,2,0,2,0,0,0,0,0,0,2,28,0,0,1,0,1,1,0,0,0,86,0,0,0,20,0,0
cs.RO,22,2,1,6,1,2,1,108,2,0,7,1,0,3,1,0,0,2,0,23,1,6,63,0,4,0,0,0,2,3,0,0,0,0,796,1,1,14,0,14
cs.SC,0,0,5,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,4,7,0,0,1,0,0,0,0,0,0,1,0,11,0,0,0,0
cs.SD,0,0,0,1,0,49,3,68,0,1,0,0,0,0,0,0,0,0,0,0,1,4,20,0,0,0,0,0,0,0,0,0,0,0,2,0,101,1,0,0
cs.SE,21,1,0,1,0,35,36,4,24,7,17,8,0,0,0,0,0,1,0,14,2,0,27,8,1,0,1,0,3,3,0,0,0,5,2,0,0,355,5,2
cs.SI,7,0,0,1,0,15,2,8,26,1,1,5,0,10,0,0,0,0,4,9,11,2,53,0,0,0,0,0,1,4,0,0,0,0,1,0,0,3,222,0
cs.SY,2,3,0,9,0,0,4,0,2,1,2,0,0,0,0,1,0,0,3,0,0,15,14,5,5,0,0,1,0,8,0,0,0,0,10,0,0,0,0,68
