,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.AI,305,1,6,5,1,80,6,34,31,23,7,4,0,12,1,1,0,0,14,20,10,8,215,32,10,1,0,0,10,2,2,0,0,6,30,0,3,19,8,1
cs.AR,1,60,0,0,0,0,3,1,0,0,13,0,0,0,4,0,0,0,0,0,0,3,8,1,0,0,0,0,3,5,3,0,0,0,4,0,0,6,0,0
cs.CC,2,0,27,0,2,0,1,0,0,1,1,0,6,18,0,6,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
cs.CE,3,1,0,59,0,1,0,10,4,0,6,0,0,3,1,0,0,1,1,3,0,3,45,0,1,0,2,2,3,1,1,0,0,0,5,0,1,2,3,6
cs.CG,1,0,2,1,30,0,0,11,0,0,1,0,12,8,0,0,0,3,0,0,0,4,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
cs.CL,57,1,0,0,0,1677,9,110,14,6,0,2,1,0,0,2,0,0,0,19,36,1,126,5,2,0,0,0,0,0,0,0,0,4,4,0,18,15,15,1
cs.CR,7,5,1,0,1,12,645,30,19,5,17,1,0,3,1,1,0,0,4,5,2,16,68,5,0,4,0,0,0,21,1,0,0,2,2,0,3,23,4,8
cs.CV,18,1,0,3,2,122,24,3269,5,2,5,0,1,4,0,0,0,8,0,13,7,5,307,0,0,3,1,0,7,2,0,0,0,1,72,1,10,1,0,0
cs.CY,21,1,0,2,0,29,25,8,188,5,3,9,0,0,0,0,0,0,1,46,5,1,25,0,2,0,1,0,0,11,1,0,0,1,2,0,0,24,31,1
cs.DB,17,1,0,0,1,13,12,3,6,111,25,1,0,9,0,0,0,0,0,2,8,1,22,6,0,0,0,0,0,1,0,0,0,1,1,0,0,8,1,0
cs.DC,3,10,0,0,1,1,19,4,6,13,250,0,1,12,0,0,0,0,3,4,1,6,41,8,2,0,2,1,3,22,0,2,2,4,5,0,0,26,6,2
cs.DL,1,0,0,1,0,9,0,3,9,8,1,86,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0
cs.DM,3,0,8,0,9,1,1,0,2,2,2,0,21,30,0,2,0,0,2,1,0,11,2,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0
cs.DS,6,2,6,1,3,3,2,4,0,10,16,1,4,125,0,0,0,1,8,0,0,8,26,1,1,0,0,1,2,3,0,0,0,1,1,1,0,2,9,1
cs.ET,0,9,0,3,0,0,4,1,2,0,5,0,0,0,31,0,0,0,0,0,0,7,13,0,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0,1
cs.FL,2,0,3,0,1,1,0,0,0,0,1,0,4,4,1,48,0,0,0,0,0,1,3,16,0,0,0,0,0,0,0,0,0,5,1,1,0,3,0,1
cs.GL,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cs.GR,1,0,0,2,5,1,0,38,0,0,2,0,0,1,0,0,0,14,0,3,0,2,3,0,0,0,0,0,2,0,0,0,0,0,6,0,0,1,1,0
cs.GT,12,0,1,0,0,0,4,0,2,1,1,0,0,5,0,2,0,0,167,1,1,11,20,6,1,0,0,0,0,3,0,0,0,0,1,0,0,0,4,1
cs.HC,29,0,0,0,0,24,13,29,46,2,1,5,0,0,0,0,0,5,2,243,12,1,12,0,0,0,0,0,1,4,0,0,0,2,26,0,5,21,10,0
cs.IR,11,0,0,0,0,86,2,19,11,12,0,11,0,2,0,0,0,0,1,5,201,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,13,0
cs.IT,1,0,4,5,1,2,16,10,2,2,10,2,6,4,1,0,0,0,4,0,0,943,39,2,1,1,0,2,1,65,1,0,0,1,2,1,4,1,4,6
cs.LG,66,18,4,7,2,96,54,246,15,7,23,0,0,9,3,0,0,1,13,10,14,27,2463,1,5,0,0,1,25,12,1,0,0,3,52,1,14,23,16,10
cs.LO,22,1,6,1,2,2,9,0,1,3,6,1,2,3,0,9,0,0,2,1,0,0,5,191,0,0,0,0,0,1,0,0,0,26,0,2,0,18,1,2
cs.MA,17,0,1,0,0,1,3,0,4,0,2,0,0,0,0,0,0,0,7,1,0,1,20,1,26,0,0,0,0,0,1,0,0,0,15,0,0,1,2,6
cs.MM,1,0,0,0,0,10,5,34,0,0,0,0,0,0,0,0,0,2,1,7,1,2,0,0,0,9,0,0,0,9,0,0,0,0,1,0,2,0,0,0
cs.MS,1,0,0,1,0,0,2,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,6,0,0,0,0,0,0,3,0,3,0,5,0,0
cs.NA,0,0,0,11,1,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,2,8,3,0,0,0,5,0,0,0,0,0,0,1,1,0,1,0,0
cs.NE,15,1,0,2,1,6,2,15,0,1,1,0,0,3,7,1,0,0,0,1,0,2,74,1,0,0,0,0,95,0,0,0,0,0,6,0,2,4,0,1
cs.NI,3,3,0,0,1,0,39,9,5,2,23,0,0,5,0,0,0,0,7,2,1,65,27,0,0,4,0,0,1,362,1,0,0,0,6,0,1,5,6,4
cs.OH,3,2,0,2,0,1,6,2,8,2,2,1,0,0,0,1,0,1,0,2,0,6,2,0,0,0,0,0,0,5,8,0,0,0,5,0,0,4,2,3
cs.OS,0,0,0,0,0,0,2,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,1
cs.PF,0,1,0,1,0,1,0,0,0,0,18,0,0,4,0,0,0,0,0,0,0,4,1,0,0,0,1,0,1,5,1,0,3,1,0,0,0,5,1,0
cs.PL,4,2,0,0,0,8,6,0,1,0,14,0,0,2,0,2,0,0,0,0,0,0,1,25,0,0,0,0,0,1,1,0,0,91,0,0,0,26,0,0
cs.RO,24,0,1,2,1,3,1,106,2,0,5,0,0,3,2,0,0,1,0,19,0,4,52,0,6,0,0,0,1,2,1,0,0,1,831,0,0,10,0,9
cs.SC,0,0,3,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,3,7,0,0,1,1,0,0,0,0,0,1,0,12,0,0,0,1
cs.SD,0,0,0,1,0,34,4,54,0,1,0,0,0,1,0,0,0,0,0,0,1,2,8,0,0,0,0,0,0,0,1,0,0,0,1,0,141,2,0,0
cs.SE,18,0,0,0,0,37,32,4,14,7,17,7,0,1,0,0,0,1,0,19,3,0,19,7,0,0,1,0,2,7,0,0,0,8,1,0,0,371,4,3
cs.SI,4,0,0,1,0,18,1,6,26,1,1,6,0,8,0,0,0,0,7,4,11,2,58,0,0,0,0,0,1,5,0,0,0,0,0,0,0,4,222,0
cs.SY,0,2,0,4,0,0,3,0,1,0,2,0,0,1,1,2,0,0,3,0,1,7,17,4,5,0,0,0,0,11,0,0,0,0,11,0,1,0,0,77
