,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.AI,319,0,4,4,1,80,7,31,28,15,3,2,1,15,1,0,0,0,15,22,13,11,203,32,12,0,0,0,15,4,0,0,0,6,30,0,5,16,9,4
cs.AR,0,67,0,0,0,0,0,1,0,0,13,0,0,0,3,0,0,0,0,0,0,2,10,1,0,1,0,0,3,4,2,0,0,0,3,0,0,5,0,0
cs.CC,1,0,30,0,2,0,1,0,0,1,2,0,8,16,0,6,0,0,0,0,0,7,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
cs.CE,4,0,0,60,0,2,1,8,4,0,5,0,0,2,1,0,0,0,1,4,0,2,44,0,1,0,2,5,2,0,0,0,0,1,5,0,1,4,2,7
cs.CG,2,0,2,1,37,0,1,7,0,1,1,0,8,6,0,0,0,4,0,0,0,2,9,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
cs.CL,54,0,0,0,0,1666,10,94,12,5,1,3,1,0,0,2,0,0,0,22,38,2,142,4,2,1,0,0,1,0,0,0,0,1,3,0,23,23,14,1
cs.CR,6,6,1,0,1,15,636,26,19,8,13,0,1,4,0,1,0,0,4,5,2,22,76,4,1,6,0,0,0,17,0,0,0,3,1,0,2,22,6,8
cs.CV,19,3,0,4,2,117,27,3244,3,2,4,0,2,2,0,0,0,7,0,16,8,5,332,0,0,4,1,0,4,1,3,0,0,0,70,0,12,2,0,0
cs.CY,21,0,0,2,0,28,21,6,197,4,3,8,0,0,1,0,0,0,1,46,6,0,26,0,2,2,1,0,0,9,3,0,0,1,4,0,0,22,28,1
cs.DB,15,1,0,1,1,16,7,4,4,114,25,2,0,8,0,0,0,0,1,2,6,0,23,7,0,0,0,0,0,1,0,0,0,5,0,0,0,6,1,0
cs.DC,6,13,1,0,0,0,21,4,5,12,243,0,1,17,0,0,0,0,3,3,1,6,42,6,2,0,3,1,2,24,0,2,1,6,3,0,1,24,6,1
cs.DL,1,0,0,1,0,10,1,2,6,7,1,89,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
cs.DM,4,0,10,0,6,1,2,0,1,0,0,1,24,29,0,1,0,1,0,1,0,9,0,8,0,0,0,1,0,2,0,0,0,0,0,1,0,0,4,0
cs.DS,9,2,2,0,2,1,3,5,0,9,12,0,8,129,0,0,0,1,10,0,0,4,30,1,0,0,0,3,2,3,0,0,1,0,1,0,0,2,8,1
cs.ET,0,7,0,4,0,0,2,1,3,0,4,0,0,0,33,0,0,0,0,0,0,7,11,0,0,0,0,0,7,2,0,0,0,0,2,0,0,0,0,0
cs.FL,4,0,3,0,1,3,0,0,0,0,0,0,4,2,1,47,0,0,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,6,0,1,0,3,1,1
cs.GL,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cs.GR,0,1,0,2,5,1,0,34,0,0,2,0,0,0,0,0,0,18,0,3,0,0,7,0,1,0,0,1,0,0,0,0,0,0,5,0,0,1,1,0
cs.GT,11,0,2,0,0,1,4,1,1,0,1,0,0,5,0,2,0,0,167,1,1,8,22,5,2,0,0,0,0,3,0,0,0,0,1,0,0,1,4,1
cs.HC,25,0,0,0,0,29,8,31,52,2,1,3,0,0,0,0,0,5,3,248,11,1,14,0,0,1,0,0,1,2,1,0,0,0,22,0,3,20,9,1
cs.IR,11,0,0,0,0,78,3,15,13,10,0,8,0,3,0,0,0,0,1,5,215,0,58,0,0,1,0,0,0,0,0,0,0,0,2,0,5,5,12,0
cs.IT,0,0,3,6,2,3,16,11,1,0,9,3,6,3,1,1,0,0,4,0,0,954,38,0,1,2,0,2,0,64,0,0,0,0,4,2,0,0,3,5
cs.LG,67,13,4,10,4,87,49,266,16,11,16,0,1,7,3,0,0,0,13,14,18,32,2447,1,9,0,1,1,27,10,1,0,0,4,47,1,11,20,22,9
cs.LO,25,1,10,1,2,1,8,0,1,3,5,1,3,4,0,9,0,0,3,2,0,0,6,187,0,0,0,0,0,1,0,0,0,22,0,2,0,19,1,0
cs.MA,19,0,0,0,0,1,3,0,3,0,2,0,0,0,0,0,0,0,7,2,0,2,18,2,25,0,0,0,0,1,1,0,0,0,15,0,0,1,2,5
cs.MM,1,0,0,0,0,7,5,37,0,0,0,0,0,0,0,0,0,2,0,7,1,1,0,0,0,12,0,0,0,7,0,0,0,0,0,0,3,0,1,0
cs.MS,1,0,0,0,0,1,2,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,1,0,0,2,0,2,0,3,0,0
cs.NA,1,0,0,6,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,7,2,0,0,1,9,1,0,1,0,0,0,1,1,0,0,0,1
cs.NE,19,1,0,3,0,6,2,13,0,1,3,0,0,3,7,0,0,0,0,0,0,2,60,0,0,0,0,0,110,0,0,0,0,0,4,0,3,3,0,1
cs.NI,2,2,0,0,0,0,34,10,7,2,24,0,0,3,0,0,0,0,8,1,0,63,24,0,3,4,0,0,2,370,1,0,0,0,7,0,1,4,6,4
cs.OH,5,2,0,1,0,2,5,2,8,1,2,1,0,1,1,0,0,1,0,1,0,6,1,0,0,0,0,0,0,5,5,0,0,0,3,0,0,8,3,4
cs.OS,0,0,0,0,0,0,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,2,0,1
cs.PF,0,2,0,1,0,1,0,0,0,0,20,0,0,3,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,4,0,0,3,1,0,0,0,5,0,0
cs.PL,5,2,0,1,0,7,7,0,0,0,9,0,0,2,0,1,0,0,0,0,0,0,1,27,0,0,0,0,0,1,0,0,1,93,0,0,0,27,0,0
cs.RO,26,1,1,3,1,4,1,107,2,0,4,0,0,2,1,0,0,1,1,18,0,6,53,0,5,0,0,0,1,3,2,0,0,1,823,0,0,11,0,9
cs.SC,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,4,7,0,0,0,1,0,0,0,0,0,1,0,14,0,0,0,0
cs.SD,0,0,0,2,0,30,2,39,0,0,0,0,0,1,0,0,0,0,0,2,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,159,2,0,0
cs.SE,26,0,0,0,0,39,26,3,17,7,13,7,1,0,0,0,0,2,0,15,2,0,22,5,0,0,1,0,1,5,1,0,0,8,1,0,0,376,2,3
cs.SI,5,0,0,1,0,16,2,4,25,1,0,4,1,8,0,0,0,0,6,5,9,2,51,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4,239,0
cs.SY,1,0,0,2,0,0,3,0,1,0,2,0,0,1,1,1,0,0,2,0,1,12,20,5,4,0,0,0,0,7,2,0,0,0,10,0,1,0,0,77
