,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.AI,307,0,2,6,1,80,8,35,29,19,4,3,2,14,1,0,0,0,13,22,6,14,198,33,10,0,0,0,12,4,1,0,0,7,36,0,2,27,10,2
cs.AR,0,59,0,0,0,0,4,1,0,0,15,0,0,0,4,0,0,0,0,0,0,2,10,1,0,0,0,0,4,5,2,0,0,0,3,0,0,5,0,0
cs.CC,1,0,32,0,2,0,2,0,0,1,2,0,7,14,0,6,0,0,1,0,0,5,1,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
cs.CE,3,0,0,62,0,1,2,11,5,0,6,0,0,2,1,0,0,1,0,2,0,4,42,0,1,0,1,1,3,1,0,0,0,0,5,1,1,3,3,6
cs.CG,1,0,2,0,34,0,0,9,0,0,1,0,9,12,0,0,0,3,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
cs.CL,52,0,0,0,0,1701,10,89,9,8,0,2,1,1,0,1,0,0,1,17,31,1,127,6,2,1,0,0,0,0,0,0,0,2,7,0,21,21,14,0
cs.CR,4,5,0,0,1,11,641,29,19,6,19,0,0,2,0,0,0,0,6,7,3,20,71,5,0,2,0,0,1,19,0,0,0,2,2,1,1,26,6,7
cs.CV,17,2,0,3,3,113,25,3247,4,2,5,0,1,3,0,0,0,14,0,13,8,10,326,0,0,4,0,0,3,2,1,0,0,1,71,0,14,2,0,0
cs.CY,22,0,0,2,0,28,27,8,187,4,4,10,0,0,0,0,0,0,2,43,6,0,23,0,2,0,1,0,3,11,0,0,0,1,4,0,1,21,32,1
cs.DB,11,1,0,0,2,15,10,1,6,114,21,1,0,11,0,0,0,0,2,3,7,0,29,5,0,0,0,0,0,2,0,0,0,1,0,0,0,8,0,0
