,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.AI,329,1,2,4,1,73,6,32,26,12,5,2,1,11,2,0,0,0,16,20,14,9,206,31,12,1,0,0,14,3,1,0,0,8,35,0,2,18,10,1
cs.AR,0,66,0,0,0,0,1,1,0,0,11,0,0,0,4,0,0,0,0,0,0,2,11,1,0,0,0,0,2,6,2,0,0,1,3,0,0,4,0,0
cs.CC,0,0,28,0,3,0,2,0,0,1,1,0,7,17,0,8,0,0,0,0,0,5,0,11,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
cs.CE,2,0,0,62,0,3,0,8,3,0,5,0,0,2,1,0,0,0,2,3,0,2,44,0,1,0,2,3,4,1,0,0,0,0,5,1,0,4,2,8
cs.CG,1,0,2,1,36,0,1,7,0,1,1,0,8,11,0,0,0,4,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
cs.CL,52,0,0,0,0,1694,6,93,14,5,0,2,1,1,0,2,0,0,0,19,33,1,130,6,2,1,0,0,1,0,0,0,0,3,2,0,26,18,13,0
cs.CR,5,7,1,0,1,16,652,28,17,6,14,0,2,4,0,1,0,0,2,6,0,14,72,4,2,3,0,0,0,19,0,0,0,1,0,0,2,26,3,8
cs.CV,16,3,0,4,2,114,28,3272,3,2,2,0,1,3,0,0,0,9,0,11,9,6,308,0,0,6,0,0,5,1,3,0,0,0,73,0,12,1,0,0
cs.CY,21,0,0,2,0,27,27,9,202,3,3,8,0,0,0,0,0,0,0,47,4,1,26,0,2,0,1,0,1,10,1,0,0,1,2,0,0,17,27,1
cs.DB,18,1,0,0,1,12,10,2,5,113,21,2,0,11,0,0,0,0,0,2,7,0,24,9,0,0,0,0,0,1,0,0,0,2,0,0,0,8,1,0
cs.DC,6,13,0,1,1,2,23,4,7,14,236,1,0,14,0,0,0,0,3,2,1,8,41,6,2,0,4,2,3,26,1,0,1,5,4,1,0,20,6,2
cs.DL,1,0,0,1,0,6,2,2,4,7,1,90,0,0,0,0,0,0,0,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0
cs.DM,4,0,4,1,6,2,1,0,2,1,1,0,28,28,0,1,0,1,1,1,0,10,2,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0
cs.DS,9,1,3,1,5,1,3,4,0,11,12,0,9,122,0,0,0,1,11,0,1,7,28,2,0,0,0,1,2,2,0,0,1,0,1,1,0,2,7,1
cs.ET,0,6,0,2,0,0,2,1,3,0,2,0,0,0,34,0,0,0,1,0,0,7,14,0,0,0,0,0,6,2,0,0,0,0,2,0,1,0,0,0
cs.FL,3,0,3,0,1,1,0,0,0,0,0,0,7,2,1,44,0,0,0,0,0,1,2,18,0,0,0,0,0,0,0,0,0,7,0,1,0,3,1,1
cs.GL,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cs.GR,2,0,0,2,7,0,0,34,0,1,2,0,0,1,0,0,0,14,0,5,0,1,5,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0
cs.GT,11,0,1,0,0,0,3,0,0,1,2,0,0,5,0,2,0,0,169,1,3,10,21,5,1,0,0,0,0,3,0,0,0,0,0,0,0,1,4,1
cs.HC,27,0,0,0,1,28,8,34,46,1,1,6,0,0,0,0,0,4,2,251,11,1,12,0,0,1,0,0,1,3,1,0,0,0,23,0,3,19,9,0
cs.IR,9,0,0,0,0,83,2,15,13,11,0,10,0,3,0,0,0,0,1,4,212,0,58,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,13,0
cs.IT,2,1,3,2,2,3,20,12,1,0,11,3,5,5,2,0,0,1,2,0,0,948,42,2,1,1,0,1,2,61,0,0,0,0,2,0,1,0,4,4
cs.LG,58,15,4,7,3,99,50,223,16,6,15,0,1,7,3,0,0,1,14,14,11,35,2501,1,7,0,0,1,25,11,1,0,0,4,46,1,11,18,24,9
cs.LO,28,1,10,1,2,1,8,0,1,4,4,2,5,4,0,9,0,0,2,2,0,2,6,180,0,0,0,0,0,1,0,0,0,25,0,1,1,16,1,0
