,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.AI,328,0,7,3,1,80,6,30,32,14,5,3,1,13,2,0,0,0,16,20,12,8,193,32,11,1,0,0,13,5,1,0,0,7,30,0,3,21,9,1
cs.AR,0,64,0,0,0,0,1,2,0,0,14,0,0,0,3,0,0,1,0,0,0,3,9,1,0,1,0,0,3,5,1,0,0,0,2,0,0,5,0,0
cs.CC,1,0,29,0,3,0,1,0,0,1,2,0,9,13,0,8,0,0,0,0,0,7,0,9,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
cs.CE,4,1,0,60,0,1,1,8,3,0,6,0,1,1,1,0,0,0,2,3,0,3,46,0,1,0,3,2,4,1,0,0,0,0,4,2,0,2,2,6
cs.CG,1,0,2,2,35,0,1,7,0,1,1,1,8,8,0,0,0,3,0,0,0,2,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
cs.CL,50,0,0,0,0,1663,7,98,14,5,1,3,2,0,0,2,0,0,0,18,36,1,148,3,2,1,0,0,0,0,0,0,0,2,5,0,26,23,14,1
cs.CR,7,7,1,1,1,16,638,27,18,3,18,2,1,5,0,1,0,0,3,8,1,17,72,3,1,3,0,0,0,21,0,0,0,0,1,0,3,27,3,7
cs.CV,14,2,0,4,5,123,26,3236,5,2,4,0,1,2,0,0,0,11,0,14,11,6,321,0,0,7,0,0,4,1,2,0,0,0,74,1,14,2,1,1
cs.CY,24,0,0,2,0,31,23,10,198,2,3,9,0,0,1,0,0,0,1,39,7,1,26,0,2,0,0,0,0,9,2,0,0,1,2,0,0,21,28,1
cs.DB,19,1,1,0,1,13,7,3,4,108,24,2,0,8,0,0,0,0,1,2,8,1,25,8,0,0,0,0,0,1,0,0,0,2,0,0,0,10,1,0
cs.DC,5,13,2,0,0,1,22,4,6,11,249,0,0,9,0,0,0,0,3,1,1,9,42,5,3,0,4,2,3,21,0,1,1,6,4,0,0,25,4,3
cs.DL,0,0,0,1,0,11,1,1,10,6,0,86,0,0,0,0,0,0,0,3,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,8,0
cs.DM,3,0,7,0,5,1,1,0,2,1,1,0,22,34,0,1,0,1,1,1,0,10,2,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0
cs.DS,11,1,3,1,3,2,2,4,0,11,11,1,8,125,0,0,0,1,10,0,0,11,26,2,0,0,0,1,1,3,0,0,1,1,1,0,0,2,6,0
cs.ET,0,7,0,2,0,0,3,1,3,0,6,0,0,0,29,0,0,0,0,0,0,9,12,0,0,0,0,0,7,2,0,0,0,0,2,0,0,0,0,0
cs.FL,2,0,4,0,1,2,0,0,0,0,1,0,4,2,1,49,0,0,0,0,0,1,3,16,0,0,0,0,0,0,0,0,0,5,0,1,0,3,0,1
cs.GL,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cs.GR,0,0,0,2,3,1,0,36,0,0,2,0,0,1,0,0,0,16,0,3,0,3,5,0,1,0,0,1,0,0,0,0,0,0,6,0,0,1,1,0
cs.GT,13,0,1,0,0,0,5,1,0,0,2,0,1,7,0,2,0,0,168,1,1,7,19,3,2,0,0,0,0,5,0,0,0,0,0,0,0,1,4,1
cs.HC,26,0,0,0,0,25,8,32,51,3,1,6,0,0,0,0,0,3,2,254,8,1,13,0,0,2,0,0,1,3,1,0,0,1,23,0,4,15,9,1
cs.IR,11,0,0,0,0,76,4,13,10,12,0,11,0,3,0,0,0,0,1,5,213,0,61,0,0,2,0,0,0,0,0,0,0,0,0,0,5,6,12,0
cs.IT,2,1,2,5,1,1,19,13,1,0,13,3,5,3,1,1,0,0,3,0,0,941,40,2,1,1,0,1,1,65,0,0,0,0,5,2,2,1,3,5
cs.LG,63,16,4,11,3,85,52,248,15,7,17,0,1,9,3,0,0,1,10,11,15,29,2494,1,6,0,0,0,23,11,0,0,0,3,45,0,13,21,17,8
cs.LO,23,1,7,1,2,2,8,0,1,3,7,1,2,4,0,10,0,0,3,2,0,3,4,188,0,0,0,0,0,0,0,0,0,24,0,2,0,18,1,0
cs.MA,17,0,0,0,0,1,3,0,4,0,2,0,0,0,0,0,0,0,8,1,0,2,19,0,28,0,0,0,0,1,1,0,0,0,13,0,0,1,2,6
cs.MM,1,0,0,0,0,9,7,35,0,0,0,0,0,0,0,0,0,2,0,7,1,1,0,0,0,10,0,0,0,7,0,0,0,0,0,0,3,0,1,0
