,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.AI,294,1,5,5,0,91,6,32,31,17,7,4,0,13,1,0,0,0,18,23,11,9,204,34,6,0,0,0,12,4,0,0,0,3,43,0,1,21,9,3
cs.AR,0,59,0,1,0,0,3,2,0,0,14,0,0,0,2,0,0,0,1,0,0,5,8,1,0,0,1,0,3,6,1,0,0,0,2,0,0,6,0,0
cs.CC,3,0,27,0,3,0,2,0,0,1,1,0,6,17,0,6,0,0,1,0,0,5,2,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
cs.CE,2,1,0,54,0,1,1,12,5,0,7,0,1,3,0,0,0,2,0,3,1,5,47,0,1,0,2,1,3,1,0,0,0,1,5,0,1,2,2,4
cs.CG,2,0,2,0,28,0,1,6,0,1,1,0,8,13,0,0,0,4,0,0,0,3,12,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
cs.CL,59,1,0,1,0,1635,10,132,13,7,0,2,0,1,0,2,0,0,0,12,40,2,136,5,2,0,0,0,0,0,0,0,0,3,1,0,19,23,19,0
cs.CR,5,6,1,0,1,15,630,31,18,3,23,0,1,5,1,1,0,0,5,5,3,20,72,6,0,1,0,0,0,15,0,0,0,2,2,0,1,33,5,5
cs.CV,16,3,0,6,3,131,22,3200,3,1,4,0,1,2,0,0,0,9,0,14,14,13,349,0,0,4,1,0,5,5,0,0,0,1,63,0,21,3,0,0
cs.CY,23,1,0,4,0,32,28,9,196,3,2,8,0,0,0,0,0,0,1,40,3,2,24,0,2,0,1,0,2,10,1,0,0,0,2,0,0,26,23,0
cs.DB,12,1,0,0,2,16,8,4,7,102,22,1,0,10,0,0,0,0,0,2,10,1,31,7,0,0,0,0,0,1,0,0,0,2,0,0,0,9,2,0
cs.DC,3,14,1,1,0,2,27,4,8,11,242,1,1,10,0,1,0,0,3,3,1,9,44,3,1,0,3,1,2,27,0,0,1,4,5,0,0,22,3,2
cs.DL,0,0,0,0,0,16,1,3,9,7,2,80,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0
cs.DM,5,0,9,0,6,2,0,0,1,0,1,0,25,27,0,4,0,1,2,1,0,11,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0
