,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.DS,5,0,4,0,3,2,5,5,0,12,14,0,9,120,0,0,0,1,12,0,1,8,25,1,1,0,0,1,2,1,0,0,0,0,2,2,0,3,10,0
cs.ET,1,9,0,1,0,0,4,2,2,0,4,0,0,0,26,0,0,0,0,0,0,11,14,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,1
cs.FL,3,0,5,0,1,1,0,0,0,0,1,0,3,4,0,45,0,0,1,0,0,1,4,16,0,0,0,0,0,0,0,0,0,4,1,1,0,3,1,1
cs.GL,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cs.GR,1,0,0,2,4,2,0,34,0,0,2,0,0,1,0,0,0,12,0,5,0,4,4,0,0,0,0,0,1,0,0,0,0,0,7,0,0,1,1,1
cs.GT,10,0,2,0,0,0,2,1,3,2,0,0,0,4,0,2,0,0,169,0,3,12,16,8,0,0,0,0,0,3,0,0,0,0,0,0,0,1,5,1
cs.HC,33,0,0,1,0,29,13,30,48,2,1,6,0,0,0,0,0,4,3,234,12,1,17,0,0,1,0,0,0,4,0,0,0,1,21,0,5,20,7,0
cs.IR,10,0,0,0,0,86,3,17,11,10,0,11,0,3,0,0,0,0,2,5,202,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,10,0
cs.IT,2,2,3,3,1,2,19,11,1,1,15,2,3,2,2,2,0,0,3,1,0,937,40,2,0,1,0,3,1,70,0,0,0,1,2,2,3,0,3,4
cs.LG,67,16,4,5,0,108,53,255,17,8,14,0,0,8,2,0,0,2,17,12,11,39,2442,1,9,0,0,0,25,10,0,0,0,2,55,1,7,23,18,11
cs.LO,20,1,7,1,2,2,9,1,1,4,4,1,4,8,0,11,0,0,5,1,0,0,10,177,0,0,0,0,0,2,0,0,0,21,0,1,0,21,2,1
cs.MA,20,0,1,0,0,1,5,0,1,0,2,0,0,0,0,0,0,0,9,1,0,3,16,1,23,0,0,0,1,2,0,0,0,0,17,0,0,2,1,3
cs.MM,1,0,0,0,0,9,5,38,0,0,0,0,0,0,0,0,0,2,0,7,2,2,0,0,0,5,0,0,0,9,0,0,0,0,0,0,3,0,1,0
cs.MS,1,0,0,0,0,1,3,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,5,1,0,0,4,0,0,0,0,0,0,5,0,1,0,4,0,0
cs.NA,0,0,0,11,1,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,2,7,3,0,0,0,4,1,0,0,0,0,0,1,1,0,1,0,0
cs.NE,14,2,0,2,1,7,2,22,1,1,2,0,0,4,8,0,0,0,0,2,1,2,86,1,0,0,0,0,65,0,0,0,0,2,9,0,2,4,0,1
cs.NI,3,3,1,0,0,0,37,9,5,1,27,0,0,5,0,0,0,0,3,2,0,62,31,0,0,2,0,0,0,368,0,0,0,0,7,0,0,6,7,3
cs.OH,2,1,0,2,0,0,7,1,9,3,4,2,0,0,2,0,0,1,0,1,0,7,2,0,0,0,0,0,0,4,3,0,0,0,5,0,0,5,3,4
cs.OS,0,0,0,0,0,0,2,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1
cs.PF,0,1,0,0,0,3,0,0,0,0,18,0,0,4,1,0,0,0,0,0,0,7,2,0,0,0,0,0,0,5,0,0,0,1,0,0,0,6,0,0
cs.PL,5,2,0,0,0,12,10,1,1,2,10,1,0,2,0,2,0,0,0,0,0,0,1,29,0,0,1,0,1,1,0,0,0,83,0,0,0,20,0,0
cs.RO,18,3,1,4,1,3,1,111,1,1,6,1,0,3,2,0,0,1,0,26,1,7,56,0,6,0,0,0,2,5,1,0,0,0,802,1,1,12,0,10
cs.SC,0,0,4,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,4,7,0,0,1,2,0,0,0,0,0,1,0,9,0,0,0,0
cs.SD,0,0,0,1,0,42,3,68,0,0,0,0,0,0,0,0,0,0,0,0,1,4,20,0,0,0,0,0,0,0,0,0,0,0,2,0,108,2,0,0
cs.SE,15,1,0,0,0,39,31,4,24,6,12,7,0,1,0,0,0,1,0,10,4,0,30,7,0,0,1,0,3,4,0,0,0,7,3,0,0,366,4,3
cs.SI,5,0,0,1,0,15,1,8,27,2,2,5,1,10,0,0,0,0,4,8,11,3,54,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,223,0
cs.SY,2,2,0,5,0,0,5,0,2,0,2,0,1,0,0,1,0,0,2,0,0,12,18,5,5,0,0,0,0,7,0,0,0,0,9,0,0,0,0,75
