,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.AI,319,1,4,5,1,77,7,32,27,21,5,2,0,9,2,1,0,0,13,23,13,7,199,30,10,0,0,0,11,4,2,0,0,7,37,1,3,25,9,1
cs.AR,0,70,0,0,0,0,1,1,0,0,10,0,0,0,5,0,0,0,0,0,0,3,7,0,0,0,0,0,3,6,2,0,0,1,2,0,0,4,0,0
cs.CC,0,0,27,0,2,0,3,0,0,1,2,0,6,17,0,7,0,0,0,0,0,6,0,12,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
cs.CE,3,0,0,64,0,3,0,8,4,0,6,0,0,2,1,0,0,0,1,3,0,2,44,0,1,0,3,1,3,1,0,0,0,0,5,0,1,3,3,6
cs.CG,2,0,2,1,34,0,0,7,0,0,1,0,10,10,0,0,0,3,0,0,0,4,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
cs.CL,56,0,1,0,0,1689,6,95,13,6,0,5,1,0,0,1,0,0,0,16,35,2,126,4,0,1,0,0,0,0,0,0,0,2,5,0,22,22,16,1
cs.CR,4,6,1,0,1,17,643,26,17,5,23,2,0,4,0,1,0,0,4,8,2,16,72,5,0,2,0,0,0,17,0,0,0,2,3,1,2,21,4,7
cs.CV,18,4,0,5,3,130,26,3236,4,3,3,0,2,3,0,0,0,11,0,14,11,7,311,0,0,7,0,1,6,3,3,0,0,1,65,1,13,3,0,0
cs.CY,23,0,1,1,0,30,27,8,192,6,4,9,0,0,0,0,0,0,0,46,5,0,25,0,2,0,0,0,0,8,1,0,0,1,1,0,0,24,28,1
cs.DB,17,1,0,0,2,14,7,3,5,111,19,1,0,11,0,0,0,0,0,2,10,0,32,4,0,0,0,0,0,1,0,0,0,1,0,0,0,8,1,0
cs.DC,6,14,0,1,0,1,19,3,6,12,247,0,0,14,0,0,0,0,3,2,1,8,40,6,2,0,3,1,2,25,0,0,2,6,4,0,0,26,5,1
cs.DL,1,0,0,1,0,13,1,1,8,6,1,86,0,0,0,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0
cs.DM,4,0,8,0,6,2,0,0,2,2,1,0,24,28,0,2,0,0,0,1,0,12,2,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0
cs.DS,10,1,6,1,6,1,4,4,0,11,14,1,7,119,0,0,0,1,10,0,1,7,28,2,0,0,0,1,3,1,0,0,0,0,1,1,0,2,6,0
cs.ET,0,8,0,3,0,0,4,1,2,0,2,0,0,0,33,0,0,0,0,0,0,10,13,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0
cs.FL,1,0,3,0,1,2,0,0,0,0,0,0,4,4,0,47,0,0,0,0,0,1,3,19,0,0,0,0,0,0,0,0,0,5,0,1,0,3,1,1
cs.GL,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cs.GR,1,1,0,2,6,1,0,36,0,0,2,0,0,0,0,0,0,16,0,3,0,1,3,0,0,0,0,0,1,0,0,0,0,0,7,0,0,1,1,0
cs.GT,11,0,1,0,0,0,5,0,1,0,1,1,1,7,0,2,0,0,170,1,2,11,19,3,1,0,0,0,0,3,0,0,1,0,0,0,0,0,3,0
cs.HC,26,0,0,0,1,28,7,30,52,2,1,7,0,0,0,0,0,2,4,244,9,1,11,0,0,1,0,0,1,2,1,0,0,2,27,0,5,21,8,0
cs.IR,13,0,0,0,0,88,4,13,9,10,0,9,0,2,0,0,0,0,1,5,205,0,62,0,0,0,0,0,0,1,0,0,0,0,0,0,5,7,11,0
cs.IT,0,1,3,4,1,2,20,9,2,1,9,2,4,4,2,1,0,0,2,0,0,946,39,2,0,1,0,2,3,68,2,0,0,0,4,0,1,1,2,6
cs.LG,61,15,2,4,2,99,54,250,16,4,20,0,0,8,2,0,0,2,15,10,16,36,2449,1,7,0,0,0,31,8,1,0,0,3,54,1,14,27,21,9
cs.LO,26,1,6,1,2,1,5,0,1,3,6,1,4,2,0,8,0,0,3,2,0,0,4,190,0,0,0,0,0,1,0,0,0,27,0,2,0,19,1,1
cs.MA,17,0,0,0,0,1,3,0,4,0,1,0,0,0,0,0,0,0,8,1,0,2,20,3,23,0,0,0,0,0,0,0,0,0,17,0,0,2,2,5
cs.MM,1,0,0,0,0,7,8,39,0,0,0,0,0,0,0,0,0,1,0,8,1,2,0,0,0,6,0,0,0,7,0,0,0,0,0,0,3,0,1,0
cs.MS,1,0,0,0,0,1,2,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,9,0,2,0,0,0,0,3,0,2,0,5,0,0
cs.NA,0,0,0,9,1,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,2,6,3,0,0,1,7,0,0,0,0,0,0,2,0,0,0,0,1
cs.NE,15,2,0,2,0,9,2,14,0,0,1,0,0,4,6,0,0,0,1,0,0,2,64,1,0,0,0,0,107,0,0,0,0,0,6,0,3,2,0,0
cs.NI,2,2,0,0,1,0,33,8,7,3,26,0,0,5,1,0,0,0,6,1,0,67,27,0,0,4,0,0,2,358,2,0,0,0,9,0,2,4,7,5
cs.OH,4,2,0,2,0,2,4,2,8,0,4,1,0,0,1,0,0,1,0,3,0,7,2,0,0,0,0,0,0,6,6,0,0,0,2,0,0,4,3,4
cs.OS,0,0,0,0,0,0,2,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,1
cs.PF,0,1,0,0,0,1,0,0,0,1,21,0,0,2,0,0,0,0,0,1,0,6,2,0,0,0,1,0,0,2,1,0,2,1,0,0,0,4,1,1
cs.PL,3,2,0,0,0,8,7,0,1,0,11,0,0,2,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0,1,1,0,0,94,0,0,0,27,0,0
cs.RO,24,2,0,2,2,4,1,105,1,0,4,0,0,3,1,0,0,2,0,20,0,9,55,0,5,0,0,0,0,4,1,0,0,1,823,0,0,10,0,8
cs.SC,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3,4,5,0,0,1,2,0,0,0,0,0,1,0,13,0,0,0,1
cs.SD,1,0,0,1,0,35,3,44,0,0,0,0,0,0,0,0,0,0,0,2,1,1,11,0,0,0,0,0,0,0,0,0,0,0,1,0,148,3,0,0
cs.SE,18,0,0,0,0,33,30,3,12,10,13,7,0,0,0,0,0,1,0,21,1,0,22,6,1,0,1,0,3,6,0,0,0,9,1,0,0,378,4,3
cs.SI,6,0,0,1,0,16,4,5,21,1,2,6,1,8,0,0,0,0,5,5,11,1,56,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,229,0
cs.SY,1,2,0,4,1,0,4,0,1,0,2,0,0,1,1,1,0,0,3,0,0,8,18,5,4,0,0,0,0,8,0,0,0,0,11,0,1,0,0,77
