,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY
cs.AI,314,0,4,3,1,77,9,29,33,16,5,2,1,11,2,0,0,0,16,18,13,13,204,35,11,0,0,0,13,4,0,0,0,8,34,0,2,20,8,2
cs.AR,0,62,0,0,0,0,2,1,0,1,13,0,0,0,3,0,0,0,0,0,0,3,10,1,0,0,0,0,3,5,3,0,1,1,2,0,0,4,0,0
cs.CC,1,0,27,0,2,0,1,0,0,1,2,0,11,15,0,7,0,0,0,0,0,7,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
cs.CE,3,0,0,59,0,2,1,8,3,0,5,0,0,2,1,0,0,1,1,3,0,2,44,0,1,0,3,3,5,1,0,0,0,0,6,1,1,3,2,7
cs.CG,1,0,2,0,39,0,3,9,0,1,1,0,5,9,0,0,0,4,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
cs.CL,53,0,0,0,0,1670,6,106,12,8,0,2,0,0,0,3,0,0,1,17,38,1,130,4,1,1,0,0,1,0,0,0,0,1,3,0,29,23,14,1
cs.CR,6,6,1,0,1,14,648,25,16,5,16,0,1,6,0,1,0,0,2,8,3,17,71,3,2,3,0,0,0,23,1,0,0,2,1,0,1,25,2,6
cs.CV,18,3,0,4,4,113,24,3251,4,4,4,0,1,3,0,0,0,8,0,14,8,9,316,0,0,4,1,0,5,0,2,0,0,0,78,0,12,3,1,0
cs.CY,20,0,0,1,0,27,22,9,200,4,4,8,0,0,0,0,0,0,1,49,4,0,26,0,2,0,1,0,1,10,1,0,0,2,2,0,0,21,26,2
cs.DB,19,1,0,0,1,15,8,3,6,114,18,1,0,10,0,0,0,0,0,2,8,1,24,7,0,0,0,0,0,1,0,0,1,2,0,0,0,7,1,0
cs.DC,4,13,0,0,0,3,19,4,7,15,243,0,0,14,0,0,0,0,3,3,1,7,42,7,2,0,3,2,3,20,0,3,1,6,5,1,0,25,3,1
cs.DL,1,0,0,0,0,9,1,2,7,7,1,92,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0
cs.DM,3,0,9,0,5,2,0,0,1,2,1,1,24,30,0,1,0,1,0,1,0,12,1,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0
cs.DS,7,2,8,1,5,1,2,4,0,11,13,0,5,122,0,0,1,0,9,0,0,7,29,1,0,0,0,1,3,1,0,0,1,0,1,1,0,2,9,2
cs.ET,0,7,0,2,0,0,2,1,3,0,4,0,0,0,36,0,0,0,0,0,0,7,12,0,0,0,0,0,4,1,0,0,0,0,2,0,1,0,0,1
cs.FL,4,0,3,0,1,3,0,0,0,0,1,0,4,3,1,50,0,0,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,6,0,1,0,3,0,1
cs.GL,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
cs.GR,1,0,0,3,6,2,1,35,0,0,2,0,0,0,0,0,0,13,0,4,0,1,5,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,1,0
cs.GT,13,0,1,0,0,0,5,0,0,1,2,0,0,5,0,2,0,0,167,1,0,10,21,6,1,0,0,0,0,3,0,0,0,0,1,0,0,1,4,0
cs.HC,27,0,0,0,0,24,8,32,53,2,1,5,0,0,0,0,0,5,2,242,10,1,15,0,0,1,0,0,1,5,1,0,0,1,24,0,3,20,9,1
cs.IR,9,0,0,0,0,92,4,12,13,9,0,9,0,4,0,0,0,0,1,4,203,0,59,0,0,0,0,0,0,2,0,0,0,0,0,0,4,6,14,0
cs.IT,3,1,2,2,1,1,15,13,1,0,11,3,6,3,2,1,0,1,3,0,0,952,39,2,1,1,0,2,1,61,0,0,0,0,4,1,2,2,3,4
cs.LG,65,15,4,6,3,89,56,233,15,10,17,0,0,9,3,0,0,0,12,16,14,28,2486,1,9,0,0,0,29,9,0,0,0,4,51,1,9,19,21,8
cs.LO,26,1,5,0,2,1,9,0,1,3,5,0,3,6,0,8,0,0,3,1,0,0,6,188,0,0,0,0,0,1,0,0,0,26,0,3,0,17,2,0
cs.MA,16,0,0,0,0,1,3,0,1,0,2,0,0,0,0,0,0,0,8,1,0,2,20,3,27,0,0,0,0,2,1,0,0,0,15,0,0,1,1,5
cs.MM,1,0,0,0,0,8,4,40,0,0,0,0,0,0,0,0,0,2,0,8,1,1,0,0,0,8,0,0,0,8,0,0,0,0,0,0,2,0,1,0
cs.MS,1,0,0,1,0,1,1,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,1,0,0,4,0,2,0,4,0,0
cs.NA,0,0,0,6,1,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,8,4,0,0,0,9,1,0,0,0,0,0,1,1,0,1,0,0
cs.NE,20,2,0,2,0,9,1,13,0,0,2,0,0,3,7,0,0,0,0,1,0,2,65,1,0,0,0,0,101,0,0,0,0,1,4,0,3,4,0,0
cs.NI,2,3,0,1,1,0,29,11,5,2,19,0,0,5,0,0,0,0,6,2,1,58,28,0,1,3,0,0,1,379,2,1,0,0,6,0,2,4,7,3
cs.OH,4,2,0,0,0,2,4,2,7,2,2,1,0,0,1,0,0,1,0,1,0,7,2,0,0,0,0,0,0,7,8,0,0,0,3,0,0,6,3,3
cs.OS,0,0,0,0,0,0,2,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,1
cs.PF,0,2,0,0,0,2,0,0,0,1,19,0,0,4,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,6,1,0,2,1,0,0,0,4,0,0
cs.PL,3,2,0,0,0,9,9,0,1,0,12,0,0,2,0,2,0,0,0,1,0,0,1,28,0,0,0,0,0,1,1,0,0,94,0,0,0,18,0,0
cs.RO,25,0,1,3,1,4,2,97,3,0,6,0,0,2,2,0,0,2,0,19,0,8,59,0,5,0,0,1,1,3,1,1,0,1,815,0,0,13,0,12
cs.SC,0,0,1,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,4,6,0,0,0,0,1,0,0,0,0,1,0,15,0,0,0,0
cs.SD,0,0,0,2,0,26,3,41,0,0,0,0,0,0,0,0,0,0,0,3,0,1,11,0,0,0,0,0,1,0,0,0,0,0,1,0,160,2,0,0
cs.SE,22,1,0,1,0,35,28,2,14,8,13,5,1,0,0,0,0,1,0,14,1,0,22,6,0,0,1,0,2,3,1,0,0,11,0,0,0,385,2,4
cs.SI,5,0,0,1,0,18,1,4,21,1,0,3,0,8,0,0,0,0,7,6,10,3,54,0,0,1,0,0,1,3,0,0,0,0,0,0,0,4,235,0
cs.SY,2,0,0,5,0,0,3,0,1,0,4,0,0,2,1,1,0,0,3,0,0,9,19,5,4,0,0,0,1,8,2,0,0,0,12,0,0,0,0,71
