,Precision,Recall,F1,Support
q-bio.NC,0.4375,0.6086956521739131,0.509090909090909,69.0
q-bio.OT,0.0,0.0,0.0,9.0
q-bio.PE,0.6091954022988506,0.6625,0.6347305389221557,80.0
q-bio.QM,0.20588235294117646,0.1076923076923077,0.1414141414141414,65.0
q-bio.SC,0.0,0.0,0.0,15.0
q-bio.TO,1.0,0.1111111111111111,0.2,18.0
q-fin.CP,0.0,0.0,0.0,17.0
q-fin.EC,0.0,0.0,0.0,1.0
q-fin.GN,0.0,0.0,0.0,11.0
q-fin.MF,0.13333333333333333,0.125,0.12903225806451613,16.0
q-fin.PM,0.6666666666666666,0.21052631578947367,0.32,19.0
q-fin.PR,0.0,0.0,0.0,18.0
q-fin.RM,0.0,0.0,0.0,17.0
q-fin.ST,0.46153846153846156,0.24,0.3157894736842105,25.0
q-fin.TR,0.3,0.4,0.34285714285714286,15.0
quant-ph,0.6598569969356486,0.7564402810304449,0.7048554282596836,854.0
stat.AP,0.32673267326732675,0.29464285714285715,0.30985915492957744,112.0
stat.CO,0.3181818181818182,0.1794871794871795,0.22950819672131148,39.0
stat.ME,0.45544554455445546,0.5587044534412956,0.5018181818181818,247.0
stat.ML,0.2702702702702703,0.11494252873563218,0.16129032258064516,174.0
stat.OT,0.0,0.0,0.0,5.0
Accuracy,0.5268,0.5268,0.5268,0.5268
Macro Average,0.38520195545246677,0.3366270604756935,0.34367147025251304,20000.0
Weighted Average,0.5057896268761838,0.5268,0.5082283610343236,20000.0
